met,conc,conc_lb,conc_ub,met_id
23dhb[c],0.000140299,0.000117,0.000164,23dhb_c
2dr5p[c],0.001048561,4.82E-05,0.0019,2dr5p_c
3pg[c],0.001543438,0.00151,0.00158,3pg_c
4hbz[c],5.29E-05,4.43E-05,6.15E-05,4hbz_c
6pgc[c],0.003769975,0.00369,0.00385,6pgc_c
aacoa[c],2.47E-05,1.37E-05,3.47E-05,aacoa_c
accoa[c],0.000612124,0.000529,0.000694,accoa_c
acgam1p[c],8.25E-05,7.25E-05,9.26E-05,acgam1p_c
acgam1p[e],8.25E-05,7.25E-05,9.26E-05,acgam1p_e
acgam1p[p],8.24E-05,7.25E-05,9.26E-05,acgam1p_p
acon-C[c],1.63E-05,1.38E-05,1.88E-05,acon_C_c
acorn[c],4.92E-05,2.71E-05,6.94E-05,acorn_c
actp[c],0.001073474,0.00102,0.00113,actp_c
ade[c],1.48E-06,1.26E-06,1.71E-06,ade_c
ade[e],1.40E-06,1.26E-06,1.71E-06,ade_e
ade[p],1.48E-06,1.26E-06,1.71E-06,ade_p
adn[c],1.36E-07,9.44E-08,1.82E-07,adn_c
adn[e],1.36E-07,9.44E-08,1.82E-07,adn_e
adn[p],1.36E-07,9.44E-08,1.82E-07,adn_p
adp[c],0.000571806,0.000437,0.000704,adp_c
adpglc[c],4.71E-06,2.83E-06,6.44E-06,adpglc_c
akg[c],0.000315126,0.000312,0.000631,akg_c
akg[e],0.000465252,0.000312,0.000631,akg_e
akg[p],0.000475703,0.000312,0.000631,akg_p
ala-L[c],0.002368057,0.00232,0.0028,ala__L_c
ala-L[e],0.002466296,0.00232,0.0028,ala__L_e
ala-L[p],0.002525977,0.00232,0.0028,ala__L_p
amet[c],0.000204988,0.000119,0.000284,amet_c
amp[c],0.000283789,0.000232,0.000341,amp_c
amp[e],0.000286555,0.000232,0.000341,amp_e
amp[p],0.000285957,0.000232,0.000341,amp_p
anth[c],3.48E-06,3.34E-06,3.62E-06,anth_c
aps[c],6.89E-06,5.10E-06,8.62E-06,aps_c
arg-L[c],0.00053581,0.000479,0.000675,arg__L_c
arg-L[e],0.000540891,0.000479,0.000675,arg__L_e
arg-L[p],0.000576989,0.000479,0.000675,arg__L_p
asn-L[c],0.000509768,0.000442,0.000592,asn__L_c
asn-L[e],0.000516159,0.000442,0.000592,asn__L_e
asn-L[p],0.000516318,0.000442,0.000592,asn__L_p
asp-L[c],0.003684789,0.00356,0.00504,asp__L_c
asp-L[e],0.004232261,0.00356,0.00504,asp__L_e
asp-L[p],0.004208004,0.00356,0.00504,asp__L_p
atp[c],0.009464529,0.00813,0.0114,atp_c
camp[c],3.60E-05,2.82E-05,4.39E-05,camp_c
cbasp[c],0.000661853,0.000364,0.000955,cbasp_c
cit[c],0.002201647,0.0011,0.00348,cit_c
cit[e],0.001442514,0.0011,0.00348,cit_e
cit[p],0.001530756,0.0011,0.00348,cit_p
citr-L[c],0.001354091,0.00123,0.00148,citr__L_c
cmp[c],0.000418691,0.000187,0.000694,cmp_c
cmp[e],0.000449484,0.000187,0.000694,cmp_e
cmp[p],0.000455713,0.000187,0.000694,cmp_p
co2[c],6.28E-05,5.02E-05,7.54E-05,co2_c
coa[c],8.85E-05,8.83E-05,0.0212,coa_c
csn[c],1.62E-05,8.65E-06,2.29E-05,csn_c
csn[e],1.61E-05,8.65E-06,2.29E-05,csn_e
csn[p],1.62E-05,8.65E-06,2.29E-05,csn_p
ctp[c],0.002777048,0.00227,0.00327,ctp_c
cytd[c],3.61E-06,1.18E-06,5.67E-06,cytd_c
cytd[e],3.18E-06,1.18E-06,5.67E-06,cytd_e
cytd[p],3.61E-06,1.18E-06,5.67E-06,cytd_p
dad-2[c],3.17E-06,1.80E-06,4.41E-06,dad_2_c
dad-2[e],3.01E-06,1.80E-06,4.41E-06,dad_2_e
dad-2[p],3.17E-06,1.80E-06,4.41E-06,dad_2_p
damp[c],1.56E-05,2.99E-06,2.62E-05,damp_c
damp[e],1.56E-05,2.99E-06,2.62E-05,damp_e
damp[p],2.62E-05,2.99E-06,2.62E-05,damp_p
datp[c],1.96E-05,8.13E-06,2.96E-05,datp_c
dctp[c],3.60E-05,2.60E-05,4.57E-05,dctp_c
dgmp[c],5.26E-05,3.91E-05,6.58E-05,dgmp_c
dgmp[e],5.26E-05,3.91E-05,6.58E-05,dgmp_e
dgmp[p],6.46E-05,3.91E-05,6.58E-05,dgmp_p
dgsn[c],5.34E-07,4.11E-07,6.62E-07,dgsn_c
dgsn[e],5.34E-07,4.11E-07,6.62E-07,dgsn_e
dgsn[p],5.62E-07,4.11E-07,6.62E-07,dgsn_p
dhap[c],0.003221233,0.002902946,0.003221283,dhap_c
dhor-S[c],1.19E-05,1.16E-05,1.23E-05,dhor__S_c
dtdp[c],0.000378315,0.000337,0.000426,dtdp_c
dttp[c],0.004626538,0.00421,0.00508,dttp_c
fad[c],0.000213442,9.33E-05,0.000319,fad_c
fdp[c],0.014004072,0.014,0.0164,fdp_c
fmn[c],5.71E-05,3.84E-05,7.51E-05,fmn_c
fum[c],0.000185341,3.00E-06,0.00442,fum_c
fum[e],0.001023247,3.00E-06,0.00442,fum_e
fum[p],0.002311586,3.00E-06,0.00442,fum_p
