reaction,gene,gene_name,deltaG_prime_m,deltaG_prime_m (error)
5DGLCNR,b4266,idnO,-18.0576554,3.247864222
ABUTD,b1444,patD,-52.07906547,2.011257051
AGPR,b3958,argC,22.21278216,1.615149306
AKGDH,b0116,lpd,-28.18815441,3.8849743
ALCD19,b0356,frmA,-36.68452065,2.006561941
ALDD19xr,b1385,feaB,-42.1929918,1.704836603
ALDD2x,b1300,puuC,-54.47259552,1.290240079
ALR4x,b3945,gldA,-16.21403414,0.986231273
APPLDHr,b3945,gldA,-15.46218592,0.986231273
APRAUR,b0414,ribD,-25.89637409,1.682972577
ASAD,b3433,asd,-6.291136363,1.692716369
ATHRDHr,b1539,ydfG,13.06490149,1.011096647
BETALDHx,b0312,betB,-41.27063573,1.089656573
BETALDHy,b0312,betB,-41.28468153,1.106737806
CDGR,b2794,queF,80.35805408,100004.1905
CINNDO,b2542,hcaD,-343.9500849,8.65931031
DHBD,b0596,entA,-61.21376501,6.891371175
DHCIND,b2541,hcaB,-61.29014277,6.891371175
DHDPRy,b0031,dapB,-21.6788496,3.939174771
DHPPD,b2541,hcaB,-61.29852036,6.891371175
DKGLCNR2x,b3553,ghrB,-21.95500749,1.166875567
DKGLCNR2y,b3553,ghrB,-21.94096169,1.153283301
DOGULNR,b3575,yiaK,-16.21416026,0.986231273
DSERDHr,b1539,ydfG,15.78942113,2.588672926
DURADx,b2146,preT,-1.051769171,3.858763682
DXPRIi,b0173,dxr,-13.56064115,1.233334332
FADRx,b3844,fre,-16.67055808,2.983191593
FADRx2,b2764,cysJ,-16.65651227,2.991504034
FALDH2,b0356,frmA,-31.80052287,4.676716799
FLVRx,b3844,fre,-7.961847597,4.473132188
G3PD2,b3608,gpsA,23.21616481,0.805351071
G5SD,b0243,proA,-25.35238067,1.615149306
G6PDH2r,b1852,zwf,-6.245839796,1.3215711
GALCTLO,b4358,lgoD,15.80719344,1.441709818
GAPD,b1779,gapA,18.92260859,0.405626339
GCALDD,b1415,aldA,-65.6636929,2.347488372
GGGABADr,b1300,puuC,-42.80867492,1.106737806
GHBDHx,b3882,yihU,2.838039756,1.696412394
GLTPD,b2091,gatD,13.60332012,1.196835798
GLUDy,b1761,gdhA,16.88621097,0.374621375
GLUSy,b3213,gltD,-48.31742361,0.943672104
GLYCDx,b3945,gldA,21.47825415,1.805242501
GLYCL,b0116,lpd,1.498032779,4.066891939
GMPR,b0104,guaC,240.2716069,67665.82578
GND,b2029,gnd,-6.798257923,3.17634026
GOFUCR,b2052,wcaG,3.555232116,1.585975976
GTHOr,b3500,gor,-30.25427429,0.783942361
HADPCOADH3,b1395,paaH,16.21425367,0.986231273
HISTD,b2020,hisD,-15.87060582,2.241588356
HXAND,b2867,xdhB,13.84186664,3.94172295
ICDHyr,b1136,icd,-11.69998167,3.186776652
IDOND,b4267,idnD,-16.21397612,0.986231273
IDOND2,b4267,idnD,-16.19993032,1.011096647
IMPD,b2508,guaB,17.07285195,3.981784994
IPMD,b0073,leuB,16.22257229,0.986231273
KARA1,b3774,ilvC,16.20009824,1.011096647
KARA2,b3774,ilvC,-16.20010475,1.011096647
LALDO2x,b3945,gldA,-14.57142214,1.688422991
LCADi,b1415,aldA,-51.17364086,1.989106394
LCARS,b2799,fucO,-24.0058129,1.501614024
LSERDHr,b1539,ydfG,14.37643862,1.885474898
M1PD,b3600,mtlD,7.59729107,1.206312474
MALDDH,b1800,dmlA,2.918331436,5.189064369
MANAO,b4323,uxuB,14.12020888,1.82611561
MDH,b3236,mdh,27.09839043,0.304887832
ME1,b1479,maeA,-4.984909326,3.118328567
ME2,b2463,maeB,-4.998955129,3.137103713
MTHFD,b0529,folD,7.023262532,1.140085991
MTHFR2,b3941,metF,-41.0677163,4.182738122
NTRIR2x,b3365,nirB,-381.056015,3.672046929
OXCOAHDH,b1387,paaZ,-15.4267661,6.783052794
P5CD,b1014,putA,-13.55729831,5.381158649
P5CR,b0386,proC,-16.34555649,6.029368088
PDH,b0116,lpd,-34.20191188,3.222666706
PDX5PS,b0052,pdxA,-240.0193654,5.52779285
PERD,b2320,pdxB,16.22766159,0.986231273
PGCD,b2913,serA,31.4418754,0.564070298
PPND,b2600,tyrA,-27.85679942,11.28822052
PPPNDO,b2542,hcaD,-350.4662016,8.041878864
QUINDH,b1692,ydiB,13.64401442,2.931870754
SBTPD,b2705,srlD,12.05850376,1.734758784
SGSAD,b1746,astD,-46.12208058,1.089656573
SHCHD2,b3368,cysG,-45.24857153,100000
SSALx,b1525,sad,-41.25983675,2.362143584
SULR,b2764,cysJ,-111.9144087,4.694120658
TAGURr,b1521,uxaB,15.80719344,1.441709818
TDPDRR,b2040,rfbD,3.555553593,1.585975976
THRD,b3616,tdh,23.12421295,2.710104234
TRDR,b0888,trxB,-8.429741833,1.473446104
UACMAMO,b3787,wecC,-29.30794656,1.322685171
UAPGR,b3972,murB,-56.00173509,1.299058977
UDPGD,b2028,ugd,-26.7052039,2.201167426
UDPGDC,b2255,arnA,-28.18456695,3.850470646
URDGLYCD,b0517,allD,-10.52825514,5.435084855
XAND,b2867,xdhB,-25.18368633,4.67652406
