,genes,rxns,gene_name
0,b1539,ATHRDHr;DSERDHr;LSERDHr,ydfG
1,b3553,2DGULRGx;2DGULRGy;2DGULRx;2DGULRy;DKGLCNR2x;DKGLCNR2y,ghrB
3,b0312,BETALDHx;BETALDHy,betB
4,b1093,3OAR100;3OAR120;3OAR121;3OAR140;3OAR141;3OAR160;3OAR161;3OAR180;3OAR181;3OAR40;3OAR60;3OAR80;OGMEACPR;OPMEACPR,fabG
6,b4266,5DGLCNR,idnO
7,b1444,ABUTD,patD
8,b2794,CDGR,queF
10,b2600,PPND,tyrA
14,b2542,CINNDO;PPPNDO,hcaD
15,b3958,AGPR,argC
18,b0116,AKGDH;GLYCL;PDH,lpd
19,b0356,ALCD19;FALDH2,frmA
20,b1385,ALDD19xr,feaB
21,b1300,ALDD2x;GGGABADr,puuC
23,b3945,ALR4x;APPLDHr;GLYCDx;LALDO2x,gldA
25,b3575,DOGULNR,yiaK
26,b3774,KARA1;KARA2,ilvC
27,b0414,APRAUR,ribD
28,b2147,DURADx,preA
29,b2146,DURADx,preT
30,b0596,DHBD,entA
31,b2541,DHCIND;DHPPD,hcaB
32,b0173,DXPRIi,dxr
33,b0031,DHDPRy,dapB
34,b1606,DHMPTR,folM
35,b1779,GAPD,gapA
36,b1288,EAR100x;EAR100y;EAR120x;EAR120y;EAR121x;EAR121y;EAR140x;EAR140y;EAR141x;EAR141y;EAR160x;EAR160y;EAR161x;EAR161y;EAR180x;EAR180y;EAR181x;EAR181y;EAR40x;EAR40y;EAR60x;EAR60y;EGMEACPR;EAR80x;EAR80y;EPMEACPR,fabI
37,b3433,ASAD,asd
39,b1415,GCALDD;LCADi,aldA
40,b2052,GOFUCR,wcaG
41,b3882,GHBDHx,yihU
42,b3844,FLVRx;FADRx,fre
43,b2763,FADRx2;SULR,cysI
44,b2764,FADRx2;SULR,cysJ
45,b2799,LCARS,fucO
46,b2091,GLTPD,gatD
48,b1761,GLUDy,gdhA
49,b3213,GLUSy,gltD
50,b3212,GLUSy,gltB
51,b1210,GLUTRR,hemA
52,b3600,M1PD,mtlD
53,b1800,MALDDH,dmlA
57,b4323,MANAO,uxuB
58,b0104,GMPR,guaC
59,b2029,GND,gnd
60,b3924,FLDR2,fpr
61,b3236,MDH,mdh
62,b1479,ME1,maeA
63,b2463,ME2,maeB
64,b3500,GTHOr,gor
65,b1395,HADPCOADH3,paaH
67,b2020,HISTD,hisD
68,b0529,MTHFD,folD
69,b3941,MTHFR2,metF
72,b3608,G3PD2,gpsA
81,b2866,HXAND;XAND,xdhA
82,b0243,G5SD,proA
83,b2867,HXAND;XAND,xdhB
85,b1852,G6PDH2r,zwf
90,b4358,GALCTLO,lgoD
93,b1136,ICDHyr,icd
94,b4267,IDOND;IDOND2,idnD
97,b2508,IMPD,guaB
98,b0073,IPMD,leuB
99,b3366,NTRIR2x,nirD
100,b3365,NTRIR2x,nirB
102,b2705,SBTPD,srlD
103,b1746,SGSAD,astD
104,b1387,OXCOAHDH,paaZ
105,b3368,SHCHD2,cysG
106,b1014,P5CD,putA
107,b0386,P5CR,proC
113,b1525,SSALx,sad
116,b1521,TAGURr,uxaB
117,b0052,PDX5PS,pdxA
119,b2320,PERD,pdxB
120,b2040,TDPDRR,rfbD
121,b2913,PGCD,serA
122,b3616,THRD,tdh
127,b0888,TRDR,trxB
130,b3787,UACMAMO,wecC
131,b3972,UAPGR,murB
132,b2028,UDPGD,ugd
133,b2255,UDPGDC,arnA
134,b0517,URDGLYCD,allD
137,b1692,QUINDH,ydiB
