,rn,deltaG_prime,deltaG_prime (error),deltaG_prime_m,deltaG_prime_m (error)
0,12DGR120tipp,0.0,0.0,0.0,0.0
1,12DGR140tipp,0.0,0.0,0.0,0.0
2,12DGR141tipp,0.0,0.0,0.0,0.0
3,12DGR160tipp,0.0,0.0,0.0,0.0
4,12DGR161tipp,0.0,0.0,0.0,0.0
5,12DGR180tipp,0.0,0.0,0.0,0.0
6,12DGR181tipp,0.0,0.0,0.0,0.0
7,12PPDRtex,0.0,0.0,0.0,0.0
8,12PPDRtpp,0.0,0.0,0.0,0.0
9,12PPDStex,0.0,0.0,0.0,0.0
10,12PPDStpp,0.0,0.0,0.0,0.0
11,14GLUCANabcpp,-29.144472212600157,0.3042778553577673,-46.25930974732119,0.3042778553577673
12,14GLUCANtexi,0.0,0.0,0.0,0.0
13,23CAMPtex,0.0,0.0,0.0,0.0
14,23CCMPtex,0.0,0.0,0.0,0.0
15,23CGMPtex,0.0,0.0,0.0,0.0
16,23CUMPtex,0.0,0.0,0.0,0.0
17,23DAPPAt2pp,0.0,0.0,0.0,0.0
18,23DAPPAtex,0.0,0.0,0.0,0.0
19,23PDE2pp,-33.4503572349177,3.028498725228973,-33.4503572349177,3.028498725228973
20,23PDE4pp,-32.38999759425849,3.028498725229365,-32.38999759425849,3.028498725229365
21,23PDE7pp,-32.476643641759665,3.028498725229401,-32.476643641759665,3.028498725229401
22,23PDE9pp,-32.4775677205314,3.0284987252270894,-32.4775677205314,3.0284987252270894
23,26DAHtex,0.0,0.0,0.0,0.0
24,2AGPA120tipp,0.0,0.0,0.0,0.0
25,2AGPA140tipp,0.0,0.0,0.0,0.0
26,2AGPA141tipp,0.0,0.0,0.0,0.0
27,2AGPA160tipp,0.0,0.0,0.0,0.0
28,2AGPA161tipp,0.0,0.0,0.0,0.0
29,2AGPA180tipp,0.0,0.0,0.0,0.0
30,2AGPA181tipp,0.0,0.0,0.0,0.0
31,2AGPE120tipp,0.0,0.0,0.0,0.0
32,2AGPE140tipp,0.0,0.0,0.0,0.0
33,2AGPE141tipp,0.0,0.0,0.0,0.0
34,2AGPE160tipp,0.0,0.0,0.0,0.0
35,2AGPE161tipp,0.0,0.0,0.0,0.0
36,2AGPE180tipp,0.0,0.0,0.0,0.0
37,2AGPE181tipp,0.0,0.0,0.0,0.0
38,2AGPEAT160,-20.415977659777838,6.639947278673673,-20.415977659777838,6.639947278673673
39,2AGPEAT180,-22.93792079433686,2.2289776347556383,-22.93792079433686,2.2289776347556383
