,rn_ids,carbon,nitrogen,electronAcceptor,sulfer,phosphorous
0,DM_4CRSOL,,,,,
1,DM_5DRIB,TRUE,TRUE,,,
2,DM_AMOB,,,,,
3,DM_MTHTHF,,,,,
4,DM_5mtr_e,TRUE,TRUE,,TRUE,
5,DM_ac_e,TRUE,,,,
6,DM_acald_e,TRUE,,,,
7,DM_acser_e,TRUE,TRUE,,,
8,DM_akg_e,TRUE,,,,
9,DM_ala-D_e,TRUE,TRUE,,,
10,DM_ala-L_e,TRUE,TRUE,,,
11,DM_alaala_e,TRUE,TRUE,,,
12,DM_arg-L_e,TRUE,TRUE,,,
13,DM_asn-L_e,TRUE,TRUE,,,
14,DM_asp-L_e,TRUE,TRUE,,,
15,DM_ca2_e,,,,,
16,DM_cbl1_e,,,,,
17,DM_cit_e,TRUE,,,,
18,DM_cl_e,,,,,
19,DM_co2_e,TRUE,,,,
20,DM_cobalt2_e,,,,,
21,DM_colipa_e,,,,,
22,DM_cu2_e,,,,,
23,DM_cys-L_e,TRUE,TRUE,,TRUE,
24,DM_dha_e,TRUE,,,,
25,DM_enter_e,,,,,
26,DM_etoh_e,TRUE,,,,
27,DM_fe2_e,,,,,
28,DM_fe3_e,,,,,
29,DM_for_e,TRUE,,,,
30,DM_glc_e,TRUE,,,,
31,DM_glcn_e,TRUE,,,,
32,DM_glu-L_e,TRUE,TRUE,,,
33,DM_gly_e,TRUE,TRUE,,,
34,DM_glyc_e,TRUE,,,,
35,DM_glyc-R_e,TRUE,,,,
36,DM_glycogenn1_c,,,,,
37,DM_glyclt_e,TRUE,,,,
38,DM_gthrd_e,TRUE,TRUE,,TRUE,
39,DM_h_e,,,,,
40,DM_h2o_e,,,,,
41,DM_his-L_e,TRUE,TRUE,,,
42,DM_ile-L_e,TRUE,TRUE,,,
43,DM_k_e,,,,,
44,DM_lac-D_e,TRUE,,,,
45,DM_leu-L_e,TRUE,TRUE,,,
46,DM_lys-L_e,TRUE,TRUE,,,
47,DM_mal-L_e,TRUE,,,,
48,DM_meoh_e,TRUE,,,,
49,DM_mg2_e,,,,,
50,DM_mn2_e,,,,,
51,DM_mobd_e,,,,,
52,DM_nh4_e,,TRUE,,,
53,DM_ni2_e,,,,,
54,DM_o2_e,,,TRUE,,
55,DM_phe-L_e,TRUE,TRUE,,,
56,DM_pheme_e,,,,,
57,DM_pi_e,,,,,TRUE
58,DM_pro-L_e,TRUE,TRUE,,,
59,DM_pyr_e,TRUE,,,,
60,DM_ser-L_e,TRUE,TRUE,,,
61,DM_so4_e,,,,TRUE,
62,DM_spmd_e,,,,,
63,DM_succ_e,TRUE,,,,
64,DM_thr-L_e,TRUE,TRUE,,,
65,DM_trp-L_e,TRUE,TRUE,,,
66,DM_tyr-L_e,TRUE,TRUE,,,
67,DM_val-L_e,TRUE,TRUE,,,
68,DM_zn2_e,,,,,
