,NAD(P)-oxygen oxidoreductase,ko
0,True,K00480
1,True,K00481
2,True,K00483
3,True,K00485
4,True,K00486
5,True,K00496
6,True,K00505
7,True,K02229
8,True,K03268
9,True,K03379
10,True,K03380
11,True,K03391
12,True,K03862
13,True,K03863
14,True,K03897
15,True,K04035
16,True,K05549
17,True,K05550
18,True,K05599
19,True,K05600
20,True,K05708
21,True,K05709
22,True,K05710
23,True,K05712
24,True,K05784
25,True,K07408
26,True,K07409
27,True,K07410
28,True,K07411
29,True,K07412
30,True,K07413
31,True,K07414
32,True,K07415
33,True,K07416
34,True,K07418
35,True,K07420
36,True,K07424
37,True,K07425
38,True,K07430
39,True,K08686
40,True,K08689
41,True,K09461
42,True,K09587
43,True,K09755
44,True,K10215
45,True,K10438
46,True,K10619
47,True,K10676
48,True,K11311
49,True,K11818
50,True,K11943
51,True,K11944
52,True,K12645
53,True,K13240
54,True,K13241
55,True,K13242
56,True,K13267
57,True,K13407
58,True,K13427
59,True,K13600
60,True,K13608
61,True,K14252
62,True,K14253
63,True,K14256
64,True,K14370
65,True,K14372
66,True,K14520
67,True,K14578
68,True,K14579
69,True,K14580
70,True,K14581
71,True,K14599
72,True,K14600
73,True,K14733
74,True,K14748
75,True,K14749
76,True,K14750
77,True,K14974
78,True,K15060
79,True,K15243
80,True,K15244
81,True,K15359
82,True,K15402
83,True,K15511
84,True,K15512
85,True,K15750
86,True,K15751
87,True,K15752
88,True,K15753
89,True,K15760
90,True,K15761
91,True,K15762
92,True,K15763
93,True,K15764
94,True,K15765
95,True,K15766
96,True,K15767
97,True,K15768
98,True,K15769
99,True,K15950
100,True,K15955
101,True,K15966
102,True,K15972
103,True,K15992
104,True,K16008
105,True,K16157
106,True,K16158
107,True,K16159
108,True,K16160
109,True,K16161
110,True,K16162
111,True,K16268
112,True,K16303
113,True,K16304
114,True,K16319
115,True,K16320
116,True,K16839
117,True,K16901
118,True,K16968
119,True,K16969
120,True,K17683
121,True,K17685
122,True,K17689
123,True,K17690
124,True,K17691
125,True,K17709
126,True,K17712
127,True,K17718
128,True,K17719
129,True,K17721
130,True,K18068
131,True,K18069
132,True,K18071
133,True,K18074
134,True,K18075
135,True,K18077
136,True,K18087
137,True,K18088
138,True,K18089
139,True,K18090
140,True,K18227
141,True,K18242
142,True,K18243
143,True,K18248
144,True,K18249
145,True,K18251
146,True,K18252
147,True,K18253
148,True,K18254
