,Metabolite,Exchange Reaction,Source
0,"(S)-Propane-1,2-diol",EX_12ppd__S_e,Carbon
1,"1,4-alpha-D-glucan",EX_14glucan_e,Carbon
2,"2',3'-Cyclic AMP",EX_23camp_e,Carbon
3,"2',3'-Cyclic CMP",EX_23ccmp_e,Carbon
4,"2',3'-Cyclic GMP",EX_23cgmp_e,Carbon
5,"2',3'-Cyclic UMP",EX_23cump_e,Carbon
6,"2,3-diaminopropionate",EX_23dappa_e,Carbon
7,2-Dehydro-3-deoxy-D-gluconate,EX_2ddglcn_e,Carbon
8,3'-AMP,EX_3amp_e,Carbon
9,3'-cmp,EX_3cmp_e,Carbon
10,3'-GMP,EX_3gmp_e,Carbon
11,3-hydroxycinnamic acid,EX_3hcinnm_e,Carbon
12,3-(3-hydroxy-phenyl)propionate,EX_3hpppn_e,Carbon
13,3'-UMP,EX_3ump_e,Carbon
14,4-Aminobutanoate,EX_4abut_e,Carbon
15,5-Dehydro-D-gluconate,EX_5dglcn_e,Carbon
16,L-alanine-D-glutamate,EX_LalaDglu_e,Carbon
17,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",EX_LalaDgluMdap_e,Carbon
18,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",EX_LalaDgluMdapDala_e,Carbon
19,L-alanine-L-glutamate,EX_LalaLglu_e,Carbon
20,Acetate,EX_ac_e,Carbon
21,Acetoacetate,EX_acac_e,Carbon
22,Acetaldehyde,EX_acald_e,Carbon
23,N-Acetyl-D-glucosamine,EX_acgam_e,Carbon
24,N-Acetyl-D-glucosamine 1-phosphate,EX_acgam1p_e,Carbon
25,N-Acetyl-D-mannosamine,EX_acmana_e,Carbon
26,N-Acetylmuramate,EX_acmum_e,Carbon
27,N-Acetylneuraminate,EX_acnam_e,Carbon
28,Adenine,EX_ade_e,Carbon
29,Adenosine,EX_adn_e,Carbon
30,Agmatine,EX_agm_e,Carbon
31,2-Oxoglutarate,EX_akg_e,Carbon
32,D-Alanine,EX_ala__D_e,Carbon
33,L-Alanine,EX_ala__L_e,Carbon
34,D-Alanyl-D-alanine,EX_alaala_e,Carbon
35,D-Allose,EX_all__D_e,Carbon
36,Allantoin,EX_alltn_e,Carbon
37,AMP,EX_amp_e,Carbon
38,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,EX_anhgm_e,Carbon
39,L-Arabinose,EX_arab__L_e,Carbon
40,L-Arginine,EX_arg__L_e,Carbon
41,L-Ascorbate,EX_ascb__L_e,Carbon
42,L-Asparagine,EX_asn__L_e,Carbon
43,L-Aspartate,EX_asp__L_e,Carbon
44,Butyrate (n-C4:0),EX_but_e,Carbon
45,Butanesulfonate,EX_butso3_e,Carbon
46,Cys-Gly,EX_cgly_e,Carbon
47,Chitobiose,EX_chtbs_e,Carbon
48,Citrate,EX_cit_e,Carbon
49,CMP,EX_cmp_e,Carbon
50,D-Cysteine,EX_cys__D_e,Carbon
51,L-Cysteine,EX_cys__L_e,Carbon
52,Cytidine,EX_cytd_e,Carbon
53,Deoxyadenosine,EX_dad_2_e,Carbon
54,DAMP,EX_damp_e,Carbon
55,Decanoate (n-C10:0),EX_dca_e,Carbon
56,DCMP,EX_dcmp_e,Carbon
57,Deoxycytidine,EX_dcyt_e,Carbon
58,Dodecanoate (n-C12:0),EX_ddca_e,Carbon
59,DGMP,EX_dgmp_e,Carbon
60,Deoxyguanosine,EX_dgsn_e,Carbon
61,Dihydroxyacetone,EX_dha_e,Carbon
62,DIMP,EX_dimp_e,Carbon
63,Deoxyinosine,EX_din_e,Carbon
64,DTMP,EX_dtmp_e,Carbon
65,DUMP,EX_dump_e,Carbon
66,Deoxyuridine,EX_duri_e,Carbon
67,Ethanolamine,EX_etha_e,Carbon
68,Ethanol,EX_etoh_e,Carbon
69,D-fructose 6-phosphate,EX_f6p_e,Carbon
70,Formaldehyde,EX_fald_e,Carbon
71,Fe(III)dicitrate,EX_fe3dcit_e,Carbon
72,Formate,EX_for_e,Carbon
73,D-Fructose,EX_fru_e,Carbon
74,Fructoselysine,EX_frulys_e,Carbon
75,D-Fructuronate,EX_fruur_e,Carbon
76,L-Fucose,EX_fuc__L_e,Carbon
77,Fumarate,EX_fum_e,Carbon
78,D-Glucose 1-phosphate,EX_g1p_e,Carbon
79,Sn-Glycero-3-phosphocholine,EX_g3pc_e,Carbon
80,Sn-Glycero-3-phosphoethanolamine,EX_g3pe_e,Carbon
81,Glycerophosphoglycerol,EX_g3pg_e,Carbon
82,Sn-Glycero-3-phospho-1-inositol,EX_g3pi_e,Carbon
83,Glycerophosphoserine,EX_g3ps_e,Carbon
84,D-Glucose 6-phosphate,EX_g6p_e,Carbon
85,D-Galactose,EX_gal_e,Carbon
86,Beta D-Galactose,EX_gal_bD_e,Carbon
87,Alpha-D-Galactose 1-phosphate,EX_gal1p_e,Carbon
88,D-Galactarate,EX_galct__D_e,Carbon
89,D-Galactonate,EX_galctn__D_e,Carbon
90,L-Galactonate,EX_galctn__L_e,Carbon
91,Galactitol,EX_galt_e,Carbon
92,D-Galacturonate,EX_galur_e,Carbon
93,D-Glucosamine,EX_gam_e,Carbon
94,D-Glucosamine 6-phosphate,EX_gam6p_e,Carbon
95,D-Glucose,EX_glc__D_e,Carbon
96,D-Gluconate,EX_glcn_e,Carbon
97,D-Glucarate,EX_glcr_e,Carbon
98,D-Glucuronate,EX_glcur_e,Carbon
99,D-Glucuronate 1-phosphate,EX_glcur1p_e,Carbon
100,L-Glutamine,EX_gln__L_e,Carbon
101,L-Glutamate,EX_glu__L_e,Carbon
102,Glycine,EX_gly_e,Carbon
103,D-Glyceraldehyde,EX_glyald_e,Carbon
104,Glycerol,EX_glyc_e,Carbon
105,(R)-Glycerate,EX_glyc__R_e,Carbon
