carbon	nitrogen	electron
EX_12ppd__S_e	EX_23camp_e	EX_no2_e
EX_12ppd__S_e	EX_23camp_e	EX_no3_e
EX_12ppd__S_e	EX_23camp_e	EX_o2_e
EX_12ppd__S_e	EX_23camp_e	None
EX_12ppd__S_e	EX_23ccmp_e	EX_no2_e
EX_12ppd__S_e	EX_23ccmp_e	EX_no3_e
EX_12ppd__S_e	EX_23ccmp_e	EX_o2_e
EX_12ppd__S_e	EX_23ccmp_e	None
EX_12ppd__S_e	EX_23cgmp_e	EX_no2_e
EX_12ppd__S_e	EX_23cgmp_e	EX_no3_e
EX_12ppd__S_e	EX_23cgmp_e	EX_o2_e
EX_12ppd__S_e	EX_23cgmp_e	None
EX_12ppd__S_e	EX_23cump_e	EX_no2_e
EX_12ppd__S_e	EX_23cump_e	EX_no3_e
EX_12ppd__S_e	EX_23cump_e	EX_o2_e
EX_12ppd__S_e	EX_23cump_e	None
EX_12ppd__S_e	EX_23dappa_e	EX_no2_e
EX_12ppd__S_e	EX_23dappa_e	EX_no3_e
EX_12ppd__S_e	EX_23dappa_e	EX_o2_e
EX_12ppd__S_e	EX_23dappa_e	None
EX_12ppd__S_e	EX_3amp_e	EX_no2_e
EX_12ppd__S_e	EX_3amp_e	EX_no3_e
EX_12ppd__S_e	EX_3amp_e	EX_o2_e
EX_12ppd__S_e	EX_3amp_e	None
EX_12ppd__S_e	EX_3cmp_e	EX_no2_e
EX_12ppd__S_e	EX_3cmp_e	EX_no3_e
EX_12ppd__S_e	EX_3cmp_e	EX_o2_e
EX_12ppd__S_e	EX_3cmp_e	None
EX_12ppd__S_e	EX_3gmp_e	EX_no2_e
EX_12ppd__S_e	EX_3gmp_e	EX_no3_e
EX_12ppd__S_e	EX_3gmp_e	EX_o2_e
EX_12ppd__S_e	EX_3gmp_e	None
EX_12ppd__S_e	EX_3ump_e	EX_no2_e
EX_12ppd__S_e	EX_3ump_e	EX_no3_e
EX_12ppd__S_e	EX_3ump_e	EX_o2_e
EX_12ppd__S_e	EX_3ump_e	None
EX_12ppd__S_e	EX_4abut_e	EX_no2_e
EX_12ppd__S_e	EX_4abut_e	EX_no3_e
EX_12ppd__S_e	EX_4abut_e	EX_o2_e
EX_12ppd__S_e	EX_4abut_e	None
EX_12ppd__S_e	EX_LalaDgluMdapDala_e	EX_no2_e
EX_12ppd__S_e	EX_LalaDgluMdapDala_e	EX_no3_e
EX_12ppd__S_e	EX_LalaDgluMdapDala_e	EX_o2_e
EX_12ppd__S_e	EX_LalaDgluMdapDala_e	None
EX_12ppd__S_e	EX_LalaDgluMdap_e	EX_no2_e
EX_12ppd__S_e	EX_LalaDgluMdap_e	EX_no3_e
EX_12ppd__S_e	EX_LalaDgluMdap_e	EX_o2_e
EX_12ppd__S_e	EX_LalaDgluMdap_e	None
EX_12ppd__S_e	EX_LalaDglu_e	EX_no2_e
