,reaction,gene,gene_name,deltaG_prime_m,deltaG_prime_m (error),wild type coenzyme,mutant coenzyme,max_deltaG (WT),min_deltaG (WT),max_deltaG (mutant),min_deltaG (mutant),direction (wild type),direction (mutant)
0,5DGLCNR,b4266,idnO,-18.057655399999998,3.247864222,NADP(H),NAD(H),-5.254372903550484,-50.91844892383256,13.312966943873246,-32.351109076408825,irreversible (forward),reversible
1,ABUTD,b1444,patD,-52.07906547,2.011257051,NAD(H),NADP(H),-37.78561179359117,-83.44968781387325,-19.218271946167448,-64.88234796644952,irreversible (forward),irreversible (forward)
2,AGPR,b3958,argC,22.21278216,1.615149306,NADP(H),NAD(H),89.32163269904412,20.825518668621005,70.75429285162038,2.258178821197273,irreversible (backward),irreversible (backward)
3,AKGDH,b0116,lpd,-28.18815441,3.8849742999999997,NAD(H),NADP(H),8.937337276549865,-82.39081476401428,27.50467712397359,-63.82347491659054,reversible,reversible
4,ALCD19,b0356,frmA,-36.68452065,2.0065619409999997,NAD(H),NADP(H),-5.3138983061267595,-50.97797432640883,-23.88123815355049,-69.54531417383257,irreversible (forward),irreversible (forward)
5,ALDD19xr,b1385,feaB,-42.192991799999994,1.7048366030000002,NAD(H),NADP(H),-27.899538123591167,-73.56361414387324,-9.33219827616744,-54.996274296449506,irreversible (forward),irreversible (forward)
6,ALDD2x,b1300,puuC,-54.47259552,1.2902400790000002,NAD(H),NADP(H),-40.17914184359117,-85.84321786387324,-21.611801996167443,-67.27587801644951,irreversible (forward),irreversible (forward)
7,ALR4x,b3945,gldA,-16.21403414,0.986231273,NAD(H),NADP(H),15.156588203873245,-30.507487816408826,-3.410751643550485,-49.07482766383255,reversible,irreversible (forward)
8,APPLDHr,b3945,gldA,-15.46218592,0.986231273,NAD(H),NADP(H),15.908436423873244,-29.755639596408827,-2.658903423550486,-48.32297944383255,reversible,irreversible (forward)
9,APRAUR,b0414,ribD,-25.89637409,1.682972577,NADP(H),NAD(H),-13.093091593550485,-58.75716761383255,5.474248253873245,-40.189827766408825,irreversible (forward),reversible
10,ASAD,b3433,asd,-6.291136363,1.692716369,NADP(H),NAD(H),60.81771417604411,-7.678399854378995,42.250374328620374,-26.245739701802727,reversible,reversible
11,ATHRDHr,b1539,ydfG,13.06490149,1.011096647,NADP(H),NAD(H),45.92569501383255,0.2616189935504867,27.358355166408828,-18.305720853873243,irreversible (backward),reversible
