,carbon,nitrogen,electron,sulfur,phosphorous
0,DM_5DRIB,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
1,DM_5DRIB,DM_asp-L_e,None,DM_so4_e,DM_pi_e
2,DM_5DRIB,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
3,DM_5DRIB,DM_glu-L_e,None,DM_so4_e,DM_pi_e
4,DM_5DRIB,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
5,DM_5DRIB,DM_nh4_e,None,DM_so4_e,DM_pi_e
6,DM_5mtr_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
7,DM_5mtr_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
8,DM_5mtr_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
9,DM_5mtr_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
10,DM_5mtr_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
11,DM_5mtr_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
12,DM_ac_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
13,DM_ac_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
14,DM_ac_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
15,DM_ac_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
16,DM_ac_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
17,DM_ac_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
18,DM_acald_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
19,DM_acald_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
20,DM_acald_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
21,DM_acald_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
22,DM_acald_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
23,DM_acald_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
24,DM_acser_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
25,DM_acser_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
26,DM_acser_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
27,DM_acser_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
28,DM_acser_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
29,DM_acser_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
30,DM_akg_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
31,DM_akg_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
32,DM_akg_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
33,DM_akg_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
34,DM_akg_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
35,DM_akg_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
36,DM_ala-D_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
37,DM_ala-D_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
38,DM_ala-D_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
39,DM_ala-D_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
40,DM_ala-D_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
41,DM_ala-D_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
42,DM_ala-L_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
43,DM_ala-L_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
44,DM_ala-L_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
45,DM_ala-L_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
46,DM_ala-L_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
47,DM_ala-L_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
48,DM_alaala_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
49,DM_alaala_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
50,DM_alaala_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
51,DM_alaala_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
52,DM_alaala_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
53,DM_alaala_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
54,DM_arg-L_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
55,DM_arg-L_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
56,DM_arg-L_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
57,DM_arg-L_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
58,DM_arg-L_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
59,DM_arg-L_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
60,DM_asn-L_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
61,DM_asn-L_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
62,DM_asn-L_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
63,DM_asn-L_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
64,DM_asn-L_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
65,DM_asn-L_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
66,DM_asp-L_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
67,DM_asp-L_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
68,DM_asp-L_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
69,DM_asp-L_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
70,DM_asp-L_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
71,DM_asp-L_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
72,DM_cit_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
73,DM_cit_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
74,DM_cit_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
75,DM_cit_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
76,DM_cit_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
77,DM_cit_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
78,DM_co2_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
79,DM_co2_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
80,DM_co2_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
81,DM_co2_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
82,DM_co2_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
83,DM_co2_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
84,DM_cys-L_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
85,DM_cys-L_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
86,DM_cys-L_e,DM_glu-L_e,DM_o2_e,DM_so4_e,DM_pi_e
87,DM_cys-L_e,DM_glu-L_e,None,DM_so4_e,DM_pi_e
88,DM_cys-L_e,DM_nh4_e,DM_o2_e,DM_so4_e,DM_pi_e
89,DM_cys-L_e,DM_nh4_e,None,DM_so4_e,DM_pi_e
90,DM_dha_e,DM_asp-L_e,DM_o2_e,DM_so4_e,DM_pi_e
91,DM_dha_e,DM_asp-L_e,None,DM_so4_e,DM_pi_e
