,carbon,nitrogen,electron,sulfur,phosphorous
0,DM_5DRIB,DM_5DRIB,DM_o2_e,DM_5mtr_e,DM_pi_e
1,DM_5DRIB,DM_5DRIB,DM_o2_e,DM_5mtr_e,None
2,DM_5DRIB,DM_5DRIB,DM_o2_e,DM_cys-L_e,DM_pi_e
3,DM_5DRIB,DM_5DRIB,DM_o2_e,DM_cys-L_e,None
4,DM_5DRIB,DM_5DRIB,DM_o2_e,DM_gthrd_e,DM_pi_e
5,DM_5DRIB,DM_5DRIB,DM_o2_e,DM_gthrd_e,None
6,DM_5DRIB,DM_5DRIB,DM_o2_e,DM_so4_e,DM_pi_e
7,DM_5DRIB,DM_5DRIB,DM_o2_e,DM_so4_e,None
8,DM_5DRIB,DM_5DRIB,DM_o2_e,None,DM_pi_e
9,DM_5DRIB,DM_5DRIB,DM_o2_e,None,None
10,DM_5DRIB,DM_5DRIB,None,DM_5mtr_e,DM_pi_e
11,DM_5DRIB,DM_5DRIB,None,DM_5mtr_e,None
12,DM_5DRIB,DM_5DRIB,None,DM_cys-L_e,DM_pi_e
13,DM_5DRIB,DM_5DRIB,None,DM_cys-L_e,None
14,DM_5DRIB,DM_5DRIB,None,DM_gthrd_e,DM_pi_e
15,DM_5DRIB,DM_5DRIB,None,DM_gthrd_e,None
16,DM_5DRIB,DM_5DRIB,None,DM_so4_e,DM_pi_e
17,DM_5DRIB,DM_5DRIB,None,DM_so4_e,None
18,DM_5DRIB,DM_5DRIB,None,None,DM_pi_e
19,DM_5DRIB,DM_5DRIB,None,None,None
20,DM_5DRIB,DM_5mtr_e,DM_o2_e,DM_5mtr_e,DM_pi_e
21,DM_5DRIB,DM_5mtr_e,DM_o2_e,DM_5mtr_e,None
22,DM_5DRIB,DM_5mtr_e,DM_o2_e,DM_cys-L_e,DM_pi_e
23,DM_5DRIB,DM_5mtr_e,DM_o2_e,DM_cys-L_e,None
24,DM_5DRIB,DM_5mtr_e,DM_o2_e,DM_gthrd_e,DM_pi_e
25,DM_5DRIB,DM_5mtr_e,DM_o2_e,DM_gthrd_e,None
26,DM_5DRIB,DM_5mtr_e,DM_o2_e,DM_so4_e,DM_pi_e
27,DM_5DRIB,DM_5mtr_e,DM_o2_e,DM_so4_e,None
28,DM_5DRIB,DM_5mtr_e,DM_o2_e,None,DM_pi_e
29,DM_5DRIB,DM_5mtr_e,DM_o2_e,None,None
30,DM_5DRIB,DM_5mtr_e,None,DM_5mtr_e,DM_pi_e
31,DM_5DRIB,DM_5mtr_e,None,DM_5mtr_e,None
32,DM_5DRIB,DM_5mtr_e,None,DM_cys-L_e,DM_pi_e
33,DM_5DRIB,DM_5mtr_e,None,DM_cys-L_e,None
34,DM_5DRIB,DM_5mtr_e,None,DM_gthrd_e,DM_pi_e
35,DM_5DRIB,DM_5mtr_e,None,DM_gthrd_e,None
36,DM_5DRIB,DM_5mtr_e,None,DM_so4_e,DM_pi_e
37,DM_5DRIB,DM_5mtr_e,None,DM_so4_e,None
38,DM_5DRIB,DM_5mtr_e,None,None,DM_pi_e
39,DM_5DRIB,DM_5mtr_e,None,None,None
40,DM_5DRIB,DM_acser_e,DM_o2_e,DM_5mtr_e,DM_pi_e
41,DM_5DRIB,DM_acser_e,DM_o2_e,DM_5mtr_e,None
42,DM_5DRIB,DM_acser_e,DM_o2_e,DM_cys-L_e,DM_pi_e
43,DM_5DRIB,DM_acser_e,DM_o2_e,DM_cys-L_e,None
44,DM_5DRIB,DM_acser_e,DM_o2_e,DM_gthrd_e,DM_pi_e
45,DM_5DRIB,DM_acser_e,DM_o2_e,DM_gthrd_e,None
46,DM_5DRIB,DM_acser_e,DM_o2_e,DM_so4_e,DM_pi_e
47,DM_5DRIB,DM_acser_e,DM_o2_e,DM_so4_e,None
48,DM_5DRIB,DM_acser_e,DM_o2_e,None,DM_pi_e
49,DM_5DRIB,DM_acser_e,DM_o2_e,None,None
50,DM_5DRIB,DM_acser_e,None,DM_5mtr_e,DM_pi_e
51,DM_5DRIB,DM_acser_e,None,DM_5mtr_e,None
52,DM_5DRIB,DM_acser_e,None,DM_cys-L_e,DM_pi_e
53,DM_5DRIB,DM_acser_e,None,DM_cys-L_e,None
54,DM_5DRIB,DM_acser_e,None,DM_gthrd_e,DM_pi_e
55,DM_5DRIB,DM_acser_e,None,DM_gthrd_e,None
56,DM_5DRIB,DM_acser_e,None,DM_so4_e,DM_pi_e
57,DM_5DRIB,DM_acser_e,None,DM_so4_e,None
58,DM_5DRIB,DM_acser_e,None,None,DM_pi_e
59,DM_5DRIB,DM_acser_e,None,None,None
60,DM_5DRIB,DM_ala-D_e,DM_o2_e,DM_5mtr_e,DM_pi_e
61,DM_5DRIB,DM_ala-D_e,DM_o2_e,DM_5mtr_e,None
62,DM_5DRIB,DM_ala-D_e,DM_o2_e,DM_cys-L_e,DM_pi_e
63,DM_5DRIB,DM_ala-D_e,DM_o2_e,DM_cys-L_e,None
64,DM_5DRIB,DM_ala-D_e,DM_o2_e,DM_gthrd_e,DM_pi_e
65,DM_5DRIB,DM_ala-D_e,DM_o2_e,DM_gthrd_e,None
66,DM_5DRIB,DM_ala-D_e,DM_o2_e,DM_so4_e,DM_pi_e
67,DM_5DRIB,DM_ala-D_e,DM_o2_e,DM_so4_e,None
68,DM_5DRIB,DM_ala-D_e,DM_o2_e,None,DM_pi_e
69,DM_5DRIB,DM_ala-D_e,DM_o2_e,None,None
70,DM_5DRIB,DM_ala-D_e,None,DM_5mtr_e,DM_pi_e
71,DM_5DRIB,DM_ala-D_e,None,DM_5mtr_e,None
72,DM_5DRIB,DM_ala-D_e,None,DM_cys-L_e,DM_pi_e
73,DM_5DRIB,DM_ala-D_e,None,DM_cys-L_e,None
74,DM_5DRIB,DM_ala-D_e,None,DM_gthrd_e,DM_pi_e
75,DM_5DRIB,DM_ala-D_e,None,DM_gthrd_e,None
76,DM_5DRIB,DM_ala-D_e,None,DM_so4_e,DM_pi_e
77,DM_5DRIB,DM_ala-D_e,None,DM_so4_e,None
78,DM_5DRIB,DM_ala-D_e,None,None,DM_pi_e
79,DM_5DRIB,DM_ala-D_e,None,None,None
80,DM_5DRIB,DM_ala-L_e,DM_o2_e,DM_5mtr_e,DM_pi_e
