,KEGG,Exchange Reaction,BIGG ID,Compound class (level 1),Compound class (level 2),Compound class (level 3),Compound class (level 4)
160,C02917,EX_12ppd__S_e,12ppd__S_e,,,,
194,,EX_14glucan_e,14glucan_e,,,,
155,C02353,EX_23camp_e,23camp_e,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides","C02353  2',3'-Cyclic AMP"
156,C02354,EX_23ccmp_e,23ccmp_e,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides","C02354  2',3'-Cyclic CMP"
176,C06194,EX_23cgmp_e,23cgmp_e,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides","C06194  2',3'-Cyclic GMP"
157,C02355,EX_23cump_e,23cump_e,Nucleic acids,Cyclic nucleotides [Fig],"2',3'-Cyclic nucleotides","C02355  2',3'-Cyclic UMP"
163,C03401,EX_23dappa_e,23dappa_e,,,,
66,C00204,EX_2ddglcn_e,2ddglcn_e,,,,
137,C01367,EX_3amp_e,3amp_e,,,,
174,C05822,EX_3cmp_e,3cmp_e,,,,
175,C06193,EX_3gmp_e,3gmp_e,,,,
189,C12621,EX_3hcinnm_e,3hcinnm_e,,,,
186,C11457,EX_3hpppn_e,3hpppn_e,,,,
138,C01368,EX_3ump_e,3ump_e,,,,
90,C00334,EX_4abut_e,4abut_e,Peptides,Amino acids,Other amino acids [Fig],C00334  gamma-Aminobutyric acid
91,C00334,EX_4abut_e,4abut_e,Peptides,Amines,Biogenic amines [Fig],C00334  gamma-Aminobutyric acid (GABA)
92,C00334,EX_4abut_e,4abut_e,Hormones and transmitters,Neurotransmitters [Fig],Amino acids,C00334  GABA
132,C01062,EX_5dglcn_e,5dglcn_e,,,,
196,,EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e,,,,
195,,EX_LalaDgluMdap_e,LalaDgluMdap_e,,,,
192,C20957,EX_LalaDglu_e,LalaDglu_e,,,,
193,C20958,EX_LalaLglu_e,LalaLglu_e,,,,
9,C00033,EX_ac_e,ac_e,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C00033  Acetate; Ethanoate
56,C00164,EX_acac_e,acac_e,Organic acids,Carboxylic acids [Fig],3-Oxocarboxylic acids,C00164  Acetoacetate; 3-Oxobutanoate
28,C00084,EX_acald_e,acald_e,,,,
168,C04256,EX_acgam1p_e,acgam1p_e,,,,
46,C00140,EX_acgam_e,acgam_e,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00140  N-Acetyl-D-glucosamine
114,C00645,EX_acmana_e,acmana_e,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00645  N-Acetyl-D-mannosamine
159,C02713,EX_acmum_e,acmum_e,Carbohydrates,Monosaccharides,Amino sugars [Fig],C02713  N-Acetylmuramic acid
82,C00270,EX_acnam_e,acnam_e,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00270  N-Acetylneuraminic acid
48,C00147,EX_ade_e,ade_e,Nucleic acids,Bases [Fig],Purines,C00147  Adenine (Ade)
68,C00212,EX_adn_e,adn_e,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00212  Adenosine (A)
58,C00179,EX_agm_e,agm_e,,,,
6,C00026,EX_akg_e,akg_e,Organic acids,Carboxylic acids [Fig],2-Oxocarboxylic acids,C00026  2-Oxoglutarate
44,C00133,EX_ala__D_e,ala__D_e,Peptides,Amino acids,Other amino acids [Fig],C00133  D-Alanine
12,C00041,EX_ala__L_e,ala__L_e,Peptides,Amino acids,Common amino acids [Fig],C00041  Alanine (Ala)
129,C00993,EX_alaala_e,alaala_e,Peptides,Peptides,Dipeptides [Fig],C00993  D-Alanyl-D-alanine
141,C01487,EX_all__D_e,all__D_e,Carbohydrates,Monosaccharides,Aldoses [Fig],C01487  D-Allose
144,C01551,EX_alltn_e,alltn_e,,,,
2,C00020,EX_amp_e,amp_e,Nucleic acids,Nucleotides [Fig],Ribonucleotides,C00020  AMP
197,,EX_anhgm_e,anhgm_e,,,,
80,C00259,EX_arab__L_e,arab__L_e,Carbohydrates,Monosaccharides,Aldoses [Fig],C00259  L-Arabinose
21,C00062,EX_arg__L_e,arg__L_e,Peptides,Amino acids,Common amino acids [Fig],C00062  Arginine (Arg)
25,C00072,EX_ascb__L_e,ascb__L_e,Vitamins and cofactors,Vitamins,Water-soluble vitamins [Fig],C00072  Ascorbic acid (Vitamin C)
51,C00152,EX_asn__L_e,asn__L_e,Peptides,Amino acids,Common amino acids [Fig],C00152  Asparagine (Asn)
15,C00049,EX_asp__L_e,asp__L_e,Peptides,Amino acids,Common amino acids [Fig],C00049  Aspartic acid (Asp)
16,C00049,EX_asp__L_e,asp__L_e,Hormones and transmitters,Neurotransmitters [Fig],Amino acids,C00049  Aspartate
74,C00246,EX_but_e,but_e,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C00246  Butyrate; Butanoate
75,C00246,EX_but_e,but_e,Lipids,Fatty acids [Fig],Saturated fatty acids,C00246  Butyric acid (4:0)
198,,EX_butso3_e,butso3_e,,,,
140,C01419,EX_cgly_e,cgly_e,,,,
148,C01674,EX_chtbs_e,chtbs_e,,,,
52,C00158,EX_cit_e,cit_e,Organic acids,Carboxylic acids [Fig],Tricarboxylic acids,C00158  Citrate
19,C00055,EX_cmp_e,cmp_e,Nucleic acids,Nucleotides [Fig],Ribonucleotides,C00055  CMP
98,C00380,EX_csn_e,csn_e,Nucleic acids,Bases [Fig],Pyrimidines,C00380  Cytosine (Cyt)
