Exchange Reaction,BIGG ID,KEGG
EX_12ppd__S_e,12ppd__S_e,C02917
EX_14glucan_e,14glucan_e,
EX_23camp_e,23camp_e,C02353
EX_23ccmp_e,23ccmp_e,C02354
EX_23cgmp_e,23cgmp_e,C06194
EX_23cump_e,23cump_e,C02355
EX_23dappa_e,23dappa_e,C03401
EX_2ddglcn_e,2ddglcn_e,C00204
EX_3amp_e,3amp_e,C01367
EX_3cmp_e,3cmp_e,C05822
EX_3gmp_e,3gmp_e,C06193
EX_3hcinnm_e,3hcinnm_e,C12621
EX_3hpppn_e,3hpppn_e,C11457
EX_3ump_e,3ump_e,C01368
EX_4abut_e,4abut_e,C00334
EX_5dglcn_e,5dglcn_e,C01062
EX_LalaDglu_e,LalaDglu_e,C20957
EX_LalaDgluMdap_e,LalaDgluMdap_e,
EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e,
EX_LalaLglu_e,LalaLglu_e,C20958
EX_ac_e,ac_e,C00033
EX_acac_e,acac_e,C00164
EX_acald_e,acald_e,C00084
EX_acgam_e,acgam_e,C00140
EX_acgam1p_e,acgam1p_e,C04256
EX_acmana_e,acmana_e,C00645
EX_acmum_e,acmum_e,C02713
EX_acnam_e,acnam_e,C00270
EX_ade_e,ade_e,C00147
EX_adn_e,adn_e,C00212
EX_agm_e,agm_e,C00179
EX_akg_e,akg_e,C00026
EX_ala__D_e,ala__D_e,C00133
EX_ala__L_e,ala__L_e,C00041
EX_alaala_e,alaala_e,C00993
EX_all__D_e,all__D_e,C01487
EX_alltn_e,alltn_e,C01551
EX_amp_e,amp_e,C00020
EX_anhgm_e,anhgm_e,
EX_arab__L_e,arab__L_e,C00259
EX_arg__L_e,arg__L_e,C00062
EX_ascb__L_e,ascb__L_e,C00072
EX_asn__L_e,asn__L_e,C00152
EX_asp__L_e,asp__L_e,C00049
EX_but_e,but_e,C00246
EX_butso3_e,butso3_e,
EX_cgly_e,cgly_e,C01419
EX_chtbs_e,chtbs_e,C01674
EX_cit_e,cit_e,C00158
EX_cmp_e,cmp_e,C00055
EX_cys__D_e,cys__D_e,C00793
EX_cys__L_e,cys__L_e,C00097
EX_cytd_e,cytd_e,C00475
EX_dad_2_e,dad_2_e,C00559
EX_damp_e,damp_e,C00360
EX_dca_e,dca_e,C01571
EX_dcmp_e,dcmp_e,C00239
EX_dcyt_e,dcyt_e,C00881
EX_ddca_e,ddca_e,C02679
EX_dgmp_e,dgmp_e,C00362
EX_dgsn_e,dgsn_e,C00330
EX_dha_e,dha_e,C00184
EX_dimp_e,dimp_e,C06196
EX_din_e,din_e,C05512
EX_dtmp_e,dtmp_e,C00364
EX_dump_e,dump_e,C00365
EX_duri_e,duri_e,C00526
EX_etha_e,etha_e,C00189
EX_etoh_e,etoh_e,C00469
EX_f6p_e,f6p_e,C00085
EX_fald_e,fald_e,C00067
EX_fe3dcit_e,fe3dcit_e,C06229
EX_for_e,for_e,C00058
EX_fru_e,fru_e,C00095
EX_frulys_e,frulys_e,C16488
EX_fruur_e,fruur_e,C00905
EX_fuc__L_e,fuc__L_e,C01019
EX_fum_e,fum_e,C00122
EX_g1p_e,g1p_e,C00103
EX_g3pc_e,g3pc_e,C00670
EX_g3pe_e,g3pe_e,C01233
EX_g3pg_e,g3pg_e,C03274
EX_g3pi_e,g3pi_e,C01225
EX_g3ps_e,g3ps_e,
EX_g6p_e,g6p_e,C00092
EX_gal_e,gal_e,C00124
EX_gal_bD_e,gal_bD_e,C00962
EX_gal1p_e,gal1p_e,C00446
EX_galct__D_e,galct__D_e,C00879
EX_galctn__D_e,galctn__D_e,C00880
EX_galctn__L_e,galctn__L_e,C15930
EX_galt_e,galt_e,C01697
EX_galur_e,galur_e,
EX_gam_e,gam_e,C00329
EX_gam6p_e,gam6p_e,C00352
EX_glc__D_e,glc__D_e,C00031
EX_glcn_e,glcn_e,C00257
EX_glcr_e,glcr_e,C00818
EX_glcur_e,glcur_e,C00191
EX_glcur1p_e,glcur1p_e,C05385
EX_gln__L_e,gln__L_e,C00064
EX_glu__L_e,glu__L_e,C00025
EX_gly_e,gly_e,C00037
EX_glyald_e,glyald_e,C00577
EX_glyc_e,glyc_e,C00116
EX_glyc__R_e,glyc__R_e,C00258
EX_glyc2p_e,glyc2p_e,C02979
EX_glyc3p_e,glyc3p_e,C00093
EX_glyclt_e,glyclt_e,C00160
EX_gmp_e,gmp_e,C00144
EX_gsn_e,gsn_e,C00387
EX_gthrd_e,gthrd_e,C00051
EX_gua_e,gua_e,C00242
EX_hdca_e,hdca_e,C00249
EX_hdcea_e,hdcea_e,C08362
EX_hxa_e,hxa_e,C01585
EX_hxan_e,hxan_e,C00262
EX_idon__L_e,idon__L_e,C00770
EX_imp_e,imp_e,C00130
EX_ins_e,ins_e,C00294
EX_lac__D_e,lac__D_e,C00256
EX_lac__L_e,lac__L_e,C00186
EX_lcts_e,lcts_e,C00243
EX_lyx__L_e,lyx__L_e,C01508
EX_mal__D_e,mal__D_e,C00497
EX_mal__L_e,mal__L_e,C00149
EX_malt_e,malt_e,C00208
EX_malthx_e,malthx_e,C01936
EX_maltpt_e,maltpt_e,C06218
EX_malttr_e,malttr_e,C01835
EX_maltttr_e,maltttr_e,C02013
EX_man_e,man_e,C00159
EX_man6p_e,man6p_e,C00275
EX_manglyc_e,manglyc_e,C11544
EX_melib_e,melib_e,C05402
EX_mnl_e,mnl_e,C00392
EX_ocdca_e,ocdca_e,C01530
EX_ocdcea_e,ocdcea_e,C00712
EX_octa_e,octa_e,C06423
EX_orn_e,orn_e,C00077
EX_pacald_e,pacald_e,C00601
EX_peamn_e,peamn_e,C05332
EX_ppa_e,ppa_e,C00163
EX_ppal_e,ppal_e,C00479
EX_pppn_e,pppn_e,C05629
EX_pro__L_e,pro__L_e,C00148
EX_progly_e,progly_e,
EX_psclys_e,psclys_e,
EX_pser__L_e,pser__L_e,C01005
EX_ptrc_e,ptrc_e,C00134
EX_pyr_e,pyr_e,C00022
EX_r5p_e,r5p_e,C03736
EX_rib__D_e,rib__D_e,C00121
EX_rmn_e,rmn_e,C00507
EX_sbt__D_e,sbt__D_e,C00794
EX_ser__D_e,ser__D_e,C00740
EX_ser__L_e,ser__L_e,C00065
EX_succ_e,succ_e,C00042
EX_sucr_e,sucr_e,C00089
EX_tartr__D_e,tartr__D_e,C02107
EX_tartr__L_e,tartr__L_e,C00898
EX_thr__L_e,thr__L_e,C00188
EX_thrp_e,thrp_e,C12147
EX_thymd_e,thymd_e,C00214
EX_tre_e,tre_e,C01083
EX_trp__L_e,trp__L_e,C00078
EX_ttdca_e,ttdca_e,C06424
EX_ttdcea_e,ttdcea_e,C06424
EX_uacgam_e,uacgam_e,C00043
EX_udpacgal_e,udpacgal_e,C00203
EX_udpg_e,udpg_e,C00029
EX_udpgal_e,udpgal_e,C00052
EX_udpglcur_e,udpglcur_e,C00167
EX_ump_e,ump_e,C00105
EX_uri_e,uri_e,C00299
EX_xan_e,xan_e,C00385
EX_xmp_e,xmp_e,C00655
EX_xtsn_e,xtsn_e,C01762
EX_xyl__D_e,xyl__D_e,C00181
EX_xylu__L_e,xylu__L_e,C00312
EX_csn_e,csn_e,C00380
EX_cynt_e,cynt_e,C01417
EX_dopa_e,dopa_e,C03758
EX_nh4_e,nh4_e,C00014
EX_no2_e,no2_e,C00088
EX_no3_e,no3_e,C00244
EX_no_e,no_e,C00533
EX_orot_e,orot_e,C00295
EX_tym_e,tym_e,C00483
EX_ura_e,ura_e,C00106
EX_tmao_e,tmao_e,C01104
EX_dmso_e,dmso_e,C11143
EX_o2_e,o2_e,C00007
