Exchange Reaction,Metabolite,Source,KEGG,BIGG ID,Compound class (level 1),Compound class (level 2),Compound class (level 3),Compound class (level 4),smap
EX_12ppd__S_e,"(S)-Propane-1,2-diol",Carbon,C02917,12ppd__S_e,,,,,0
EX_glcr_e,D-Glucarate,Carbon,C00818,glcr_e,,,,,0
EX_glcur1p_e,D-Glucuronate 1-phosphate,Carbon,C05385,glcur1p_e,,,,,0
EX_glcur_e,D-Glucuronate,Carbon,C00191,glcur_e,Carbohydrates,Monosaccharides,Sugar acids [Fig],C00191  D-Glucuronic acid,0
EX_gln__L_e,L-Glutamine,Carbon,C00064,gln__L_e,Peptides,Amino acids,Common amino acids [Fig],C00064  Glutamine (Gln),0
EX_glu__L_e,L-Glutamate,Carbon,C00025,glu__L_e,Peptides,Amino acids,Common amino acids [Fig],C00025  Glutamic acid (Glu),0
EX_gly_e,Glycine,Carbon,C00037,gly_e,Peptides,Amino acids,Common amino acids [Fig],C00037  Glycine (Gly),0
EX_glyald_e,D-Glyceraldehyde,Carbon,C00577,glyald_e,Carbohydrates,Monosaccharides,Aldoses [Fig],C00577  D-Glyceraldehyde,0
EX_glyc2p_e,Glycerol 2-phosphate,Carbon,C02979,glyc2p_e,,,,,0
EX_glyc3p_e,Glycerol 3-phosphate,Carbon,C00093,glyc3p_e,,,,,0
EX_glyc__R_e,(R)-Glycerate,Carbon,C00258,glyc__R_e,,,,,0
EX_glyc_e,Glycerol,Carbon,C00116,glyc_e,Carbohydrates,Monosaccharides,Sugar alcohols [Fig],C00116  Glycerol,0
EX_glcn_e,D-Gluconate,Carbon,C00257,glcn_e,Carbohydrates,Monosaccharides,Sugar acids [Fig],C00257  D-Gluconic acid,0
EX_glyclt_e,Glycolate,Carbon,C00160,glyclt_e,,,,,0
EX_gsn_e,Guanosine,Carbon,C00387,gsn_e,Nucleic acids,Nucleosides [Fig],Ribonucleosides,C00387  Guanosine (G),0
EX_gthrd_e,Reduced glutathione,Carbon,C00051,gthrd_e,Vitamins and cofactors,Cofactors,Coenzymes [Fig],C00051  Glutathione,0
EX_gua_e,Guanine,Carbon,C00242,gua_e,Nucleic acids,Bases [Fig],Purines,C00242  Guanine (Gua),0
EX_hdca_e,Hexadecanoate (n-C16:0),Carbon,C00249,hdca_e,Lipids,Fatty acids [Fig],Saturated fatty acids,C00249  Palmitic acid (16:0),0
EX_hdcea_e,Hexadecenoate (n-C16:1),Carbon,C08362,hdcea_e,Lipids,Fatty acids [Fig],Unsaturated fatty acids,C08362  Palmitoleic acid (16:1;9),0
EX_hxa_e,Hexanoate (n-C6:0),Carbon,C01585,hxa_e,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C01585  Capronate; Hexanoate,0
EX_hxan_e,Hypoxanthine,Carbon,C00262,hxan_e,,,,,0
EX_idon__L_e,L-Idonate,Carbon,C00770,idon__L_e,,,,,0
EX_imp_e,IMP,Carbon,C00130,imp_e,,,,,0
EX_ins_e,Inosine,Carbon,C00294,ins_e,,,,,0
EX_lac__D_e,D-lactate,Carbon,C00256,lac__D_e,,,,,0
EX_gmp_e,GMP,Carbon,C00144,gmp_e,Nucleic acids,Nucleotides [Fig],Ribonucleotides,C00144  GMP,0
EX_glc__D_e,D-Glucose,Carbon,C00031,glc__D_e,Carbohydrates,Monosaccharides,Aldoses [Fig],C00031  D-Glucose,0
EX_gam_e,D-Glucosamine,Carbon,C00329,gam_e,Carbohydrates,Monosaccharides,Amino sugars [Fig],C00329  D-Glucosamine,0
EX_gam6p_e,D-Glucosamine 6-phosphate,Carbon,C00352,gam6p_e,,,,,0
EX_etoh_e,Ethanol,Carbon,C00469,etoh_e,,,,,0
EX_f6p_e,D-fructose 6-phosphate,Carbon,C00085,f6p_e,,,,,0
EX_fald_e,Formaldehyde,Carbon,C00067,fald_e,,,,,0
EX_fe3dcit_e,Fe(III)dicitrate,Carbon,C06229,fe3dcit_e,,,,,0
EX_for_e,Formate,Carbon,C00058,for_e,Organic acids,Carboxylic acids [Fig],Monocarboxylic acids,C00058  Formate; Methanoate,0
EX_fru_e,D-Fructose,Carbon,C00095,fru_e,Carbohydrates,Monosaccharides,Ketoses [Fig],C00095  D-Fructose; Fruit sugar,0
EX_frulys_e,Fructoselysine,Carbon,C16488,frulys_e,,,,,0
EX_fruur_e,D-Fructuronate,Carbon,C00905,fruur_e,Carbohydrates,Monosaccharides,Sugar acids [Fig],C00905  D-Fructuronic acid,0
EX_fuc__L_e,L-Fucose,Carbon,C01019,fuc__L_e,Carbohydrates,Monosaccharides,Deoxy sugars [Fig],C01019  L-Fucose,0
EX_fum_e,Fumarate,Carbon,C00122,fum_e,,,,,0
EX_g1p_e,D-Glucose 1-phosphate,Carbon,C00103,g1p_e,,,,,0
EX_g3pc_e,Sn-Glycero-3-phosphocholine,Carbon,C00670,g3pc_e,,,,,0
EX_g3pe_e,Sn-Glycero-3-phosphoethanolamine,Carbon,C01233,g3pe_e,,,,,0
EX_g3pg_e,Glycerophosphoglycerol,Carbon,C03274,g3pg_e,,,,,0
EX_g3pi_e,Sn-Glycero-3-phospho-1-inositol,Carbon,C01225,g3pi_e,,,,,0
EX_g3ps_e,Glycerophosphoserine,Carbon,,g3ps_e,,,,,0
EX_xylu__L_e,L-Xylulose,Carbon,C00312,xylu__L_e,Carbohydrates,Monosaccharides,Ketoses [Fig],C00312  L-Xylulose,0
