,met,met_id,KEGG
0,EX_12ppd__S_e,12ppd__S_e,C02917
1,EX_14glucan_e,14glucan_e,
2,EX_23camp_e,23camp_e,C02353
3,EX_23ccmp_e,23ccmp_e,C02354
4,EX_23cgmp_e,23cgmp_e,C06194
5,EX_23cump_e,23cump_e,C02355
6,EX_23dappa_e,23dappa_e,C03401;C06393
7,EX_2ddglcn_e,2ddglcn_e,C00204
8,EX_3amp_e,3amp_e,C01367
9,EX_3cmp_e,3cmp_e,C05822
10,EX_3gmp_e,3gmp_e,C06193
11,EX_3hcinnm_e,3hcinnm_e,C12621
12,EX_3hpppn_e,3hpppn_e,C11457
13,EX_3ump_e,3ump_e,C01368
14,EX_4abut_e,4abut_e,C00334
15,EX_5dglcn_e,5dglcn_e,C01062
16,EX_LalaDglu_e,LalaDglu_e,C20957
17,EX_LalaDgluMdap_e,LalaDgluMdap_e,
18,EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e,
19,EX_LalaLglu_e,LalaLglu_e,C20958
20,EX_ac_e,ac_e,C00033;C00164;C05123;C00253;C00548;C07086;C15583;C14179;C04043;C12296;C00954;C12303;C00642;C13636;C05593;C00642;C13636
21,EX_acac_e,acac_e,C00164
22,EX_acald_e,acald_e,C00084;C00601;C00637
23,EX_acgam_e,acgam_e,C00140;C00043;G10610
24,EX_acgam1p_e,acgam1p_e,C04256;C04501
25,EX_acmana_e,acmana_e,C00645;C02711;C03136
26,EX_acmum_e,acmum_e,C02713
27,EX_acnam_e,acnam_e,C00270;C19910
28,EX_ade_e,ade_e,C00147
29,EX_adn_e,adn_e,C00212
30,EX_agm_e,agm_e,C00179
31,EX_akg_e,akg_e,C00026
32,EX_ala__D_e,ala__D_e,C00133
33,EX_ala__L_e,ala__L_e,C00041
34,EX_alaala_e,alaala_e,C00993
35,EX_all__D_e,all__D_e,C01487
36,EX_alltn_e,alltn_e,C01551
37,EX_amp_e,amp_e,C00020;C00575;C00360;C02353;C01367;C06688
38,EX_anhgm_e,anhgm_e,
39,EX_arab__L_e,arab__L_e,C00259
40,EX_arg__L_e,arg__L_e,C00062
41,EX_ascb__L_e,ascb__L_e,
42,EX_asn__L_e,asn__L_e,C00152
43,EX_asp__L_e,asp__L_e,C00049
44,EX_but_e,but_e,C00109;C00334;C00246
45,EX_butso3_e,butso3_e,
46,EX_cgly_e,cgly_e,C01419
47,EX_chtbs_e,chtbs_e,C01674;G10336
48,EX_cit_e,cit_e,C02225;C00158;C00311;C06229
49,EX_cmp_e,cmp_e,C00055;C00239;C02354;C05822;G10621
50,EX_cys__D_e,cys__D_e,C00793
51,EX_cys__L_e,cys__L_e,C00097;C00155
52,EX_cytd_e,cytd_e,C00475;C02961
53,EX_dad_2_e,dad_2_e,C00559
54,EX_damp_e,damp_e,C00360
55,EX_dca_e,dca_e,C01571;C02679;C00249;C01530;C06424;C16537;C18218
56,EX_dcmp_e,dcmp_e,C00239
57,EX_dcyt_e,dcyt_e,C00881
58,EX_ddca_e,ddca_e,C02679
59,EX_dgmp_e,dgmp_e,C00362
60,EX_dgsn_e,dgsn_e,C00330
61,EX_dha_e,dha_e,C00184
62,EX_dimp_e,dimp_e,C06196
63,EX_din_e,din_e,C05512
64,EX_dtmp_e,dtmp_e,C00364
65,EX_dump_e,dump_e,C00365
66,EX_duri_e,duri_e,C00526
67,EX_etha_e,etha_e,C00189
68,EX_etoh_e,etoh_e,C00469;C05853
69,EX_f6p_e,f6p_e,C00085
70,EX_fald_e,fald_e,C00067
71,EX_fe3dcit_e,fe3dcit_e,C06229
72,EX_for_e,for_e,C00058
73,EX_fru_e,fru_e,C00095;C01496;C10906
74,EX_frulys_e,frulys_e,C16488
75,EX_fruur_e,fruur_e,C00905
76,EX_fuc__L_e,fuc__L_e,C01019
77,EX_fum_e,fum_e,C00122
78,EX_g1p_e,g1p_e,C00103
79,EX_g3pc_e,g3pc_e,C00670
80,EX_g3pe_e,g3pe_e,C01233
81,EX_g3pg_e,g3pg_e,C03274
82,EX_g3pi_e,g3pi_e,C01225
83,EX_g3ps_e,g3ps_e,
84,EX_g6p_e,g6p_e,C00092
85,EX_gal_e,gal_e,C00124;C00052;C01132;C00203;G10609;G10611
86,EX_gal_bD_e,gal_bD_e,C00962
87,EX_gal1p_e,gal1p_e,C00446;C03384;C18060
88,EX_galct__D_e,galct__D_e,C00879
89,EX_galctn__D_e,galctn__D_e,C00880
90,EX_galctn__L_e,galctn__L_e,C15930
