,NAD/NADP,NAD only
Ec_biomass_iJO1366_WT_53p95M,0.8379979489589438,0.7247860087628575
Ec_biomass_iJO1366_WT_53p95M_reverse_55db7,0.0,0.0
Ec_biomass_iJO1366_core_53p95M,0.0,0.0
Ec_biomass_iJO1366_core_53p95M_reverse_e94eb,0.0,0.0
AICART,0.44155620326953754,0.3819027941653203
AICART_reverse_b7b59,0.0,0.0
FMETTRS,0.0,0.0
FMETTRS_reverse_3b6c6,0.0,0.0
FTHFD,0.0,0.0
FTHFD_reverse_44321,0.0,0.0
FTHFLi,0.8063434144349463,0.0
FTHFLi_reverse_a6dc7,0.0,0.0
GARFT,0.36460033762279087,0.3153435206226008
GARFT_reverse_7ecb6,0.0,0.0
MTHFC,0.0,0.6974079420678752
MTHFC_reverse_f6fcc,0.0,0.0
ULA4NFT,0.0,0.0
ULA4NFT_reverse_07217,0.0,0.0
12DGR120tipp,0.0,0.0
12DGR120tipp_reverse_757ef,0.0,0.0
DAGK120,0.0,0.0
DAGK120_reverse_7cd00,0.0,0.0
PAPA120,0.0,0.0
PAPA120_reverse_75d70,0.0,0.0
12DGR140tipp,0.0,0.0
12DGR140tipp_reverse_aea46,0.0,0.0
DAGK140,0.0,0.0
DAGK140_reverse_87f8f,0.0,0.0
PAPA140,0.0,0.0
PAPA140_reverse_255f5,0.0,0.0
12DGR141tipp,0.0,0.0
12DGR141tipp_reverse_a0957,0.0,0.0
DAGK141,0.0,0.0
DAGK141_reverse_f6e5f,0.0,0.0
PAPA141,0.0,0.0
PAPA141_reverse_945ab,0.0,0.0
12DGR160tipp,0.0,0.0
12DGR160tipp_reverse_eac16,0.0,0.0
DAGK160,0.0,0.0
DAGK160_reverse_0238d,0.0,0.0
PAPA160,0.0,0.0
PAPA160_reverse_c64df,0.0,0.0
12DGR161tipp,0.0,0.0
12DGR161tipp_reverse_dcd80,0.0,0.0
DAGK161,0.0,0.0
DAGK161_reverse_9bfe7,0.0,0.0
PAPA161,0.0,0.0
PAPA161_reverse_1bc33,0.0,0.0
12DGR180tipp,0.0,0.0
12DGR180tipp_reverse_7a012,0.0,0.0
DAGK180,0.0,0.0
DAGK180_reverse_eb3e3,0.0,0.0
PAPA180,0.0,0.0
PAPA180_reverse_9f7f6,0.0,0.0
12DGR181tipp,0.0,0.0
12DGR181tipp_reverse_34fd5,0.0,0.0
DAGK181,0.0,0.0
DAGK181_reverse_8c0c8,0.0,0.0
PAPA181,0.0,0.0
PAPA181_reverse_fb09e,0.0,0.0
12PPDRtpp,0.0,0.0
12PPDRtpp_reverse_c5519,0.0,0.0
ALR4x,0.0,0.0
ALR4x_reverse_17ebf,0.0,0.0
LCARR,0.0,0.0
LCARR_reverse_9213d,0.0,0.0
12PPDStpp,0.0,0.0
12PPDStpp_reverse_81431,0.0,0.0
LCARS,0.0,0.0
LCARS_reverse_66c3d,0.0,0.0
GAPD,10.027444490338091,0.0
GAPD_reverse_459c1,0.0,0.0
PGK,0.0,0.0
PGK_reverse_02696,10.027444490338091,0.0
DHNCOAS,0.0003737470852356889,0.00032325455990823445
DHNCOAS_reverse_af3a9,0.0,0.0
DHNCOAT,0.0003737470852356889,0.00032325455990823445
DHNCOAT_reverse_58c26,0.0,0.0
14GLUCANabcpp,0.0,0.0
14GLUCANabcpp_reverse_c6351,0.0,0.0
AAMYL,-0.0,-0.0
AAMYL_reverse_58557,0.0,0.0
APCS,0.0,0.0
APCS_reverse_d7e40,0.0,0.0
CADVtpp,0.0,0.0
CADVtpp_reverse_9e7cc,0.0,0.0
LYSDC,0.0,0.0
LYSDC_reverse_d9eb6,0.0,0.0
AGPAT120,0.0,0.0
AGPAT120_reverse_7811c,0.0,0.0
APG3PAT120,0.0,0.0
APG3PAT120_reverse_36529,0.0,0.0
G3PAT120,0.0,0.0
G3PAT120_reverse_34d68,0.0,0.0
AGPAT161,0.03953171524418921,0.03419105517737904
AGPAT161_reverse_debc5,0.0,0.0
APG3PAT161,0.03953171524418921,0.0
APG3PAT161_reverse_a7b12,0.0,0.0
G3PAT161,0.0,0.03419105517737904
G3PAT161_reverse_1ef08,0.0,0.0
AGPAT160,0.0508254136023089,0.04395899621747607
AGPAT160_reverse_22d12,0.0,0.0
APG3PAT160,0.0,0.04395899621747607
APG3PAT160_reverse_19c9f,0.0,0.0
G3PAT160,0.0508254136023089,0.0
G3PAT160_reverse_446d0,0.0,0.0
AGPAT181,0.0203742441330388,0.01762172223105135
AGPAT181_reverse_93f51,0.0,0.0
APG3PAT181,0.0,0.01762172223105135
APG3PAT181_reverse_ba91b,0.0,0.0
G3PAT181,0.0203742441330388,0.0
G3PAT181_reverse_89dcb,0.0,0.0
AGPAT180,0.0,0.0
AGPAT180_reverse_57c04,0.0,0.0
APG3PAT180,0.0,0.0
APG3PAT180_reverse_279d3,0.0,0.0
G3PAT180,0.0,0.0
G3PAT180_reverse_e7ff1,0.0,0.0
G5SADs,0.0,0.0
G5SADs_reverse_c7fa4,0.0,0.0
P5CD,0.0,0.0
P5CD_reverse_c7374,0.1800002834404832,0.15568258511024424
P5CR,0.1800002834404832,0.15568258511024424
P5CR_reverse_55c58,0.0,0.0
PROD2,0.0,0.0
PROD2_reverse_972fe,0.0,0.0
AGPAT141,0.0,0.0
AGPAT141_reverse_fd2b9,0.0,0.0
APG3PAT141,0.0,0.0
APG3PAT141_reverse_f3ee9,0.0,0.0
G3PAT141,0.0,0.0
G3PAT141_reverse_b50c4,0.0,0.0
AGPAT140,0.0,0.0
AGPAT140_reverse_73ea4,0.0,0.0
APG3PAT140,0.0,0.0
APG3PAT140_reverse_0280f,0.0,0.0
G3PAT140,0.0,0.0
G3PAT140_reverse_70922,0.0,0.0
23DAPPAt2pp,0.0,0.0
23DAPPAt2pp_reverse_59b55,0.0,0.0
DAPAL,0.0,0.0
DAPAL_reverse_14901,0.0,0.0
DHBD,0.0005606206278535334,0.00048488183986235164
DHBD_reverse_07e1f,0.0,0.0
ICHORT,0.0005606206278535334,0.00048488183986235164
ICHORT_reverse_743ed,0.0,0.0
DHACOAH,0.0,0.0
DHACOAH_reverse_1376f,0.0,0.0
OXDHCOAT,0.0,0.0
OXDHCOAT_reverse_4ad9c,0.0,0.0
DHBS,0.0005606206278535334,0.0004848818398623517
DHBS_reverse_e570e,0.0,0.0
DHBSH,0.0,5.421010862427522e-20
DHBSH_reverse_e4369,0.0,0.0
ENTCS,0.00018687354261784448,0.00016162727995411722
ENTCS_reverse_2c03a,0.0,0.0
ENTERES,0.0,0.0
ENTERES_reverse_43d02,0.0,0.0
ENTERES2,0.0,0.0
ENTERES2_reverse_17eef,0.0,0.0
FE3DHBZR,-0.0,-0.0
FE3DHBZR_reverse_14b6c,0.0,0.0
DHDPRy,0.3025382095229027,0.26166586881361065
DHDPRy_reverse_8346a,0.0,0.0
DHDPS,0.3025382095229027,0.26166586881361065
DHDPS_reverse_e10c0,0.0,0.0
