,minimum,maximum
DM_4CRSOL,0.00018687331961784445,0.00018687398241308274
DM_5DRIB,0.00019357729520951602,0.0002035020600700023
DM_AACALD,0.0,0.0
DM_AMOB,1.6759938979178874e-06,1.6759938979178874e-06
DM_MTHTHF,0.0011229159116049848,0.0011545163151961207
DM_OXAM,0.0,1.810833737299807e-05
Ec_biomass_iJO1366_WT_53p95M,0.8379969489589437,0.8379979489589438
Ec_biomass_iJO1366_core_53p95M,0.0,0.0
DM_12ppd-R_e,0.0,3.716415167903664e-05
DM_12ppd-S_e,0.0,1.474536612933175e-05
DM_14glucan_e,0.0,0.0
DM_15dap_e,0.0,0.0
DM_23camp_e,0.0,0.0
DM_23ccmp_e,0.0,0.0
DM_23cgmp_e,0.0,0.0
DM_23cump_e,0.0,0.0
DM_23dappa_e,0.0,0.0
DM_26dap-M_e,0.0,0.0
DM_2ddglcn_e,0.0,0.0
DM_34dhpac_e,0.0,0.0
DM_3amp_e,0.0,0.0
DM_3cmp_e,0.0,0.0
DM_3gmp_e,0.0,0.0
DM_3hcinnm_e,0.0,0.0
DM_3hpp_e,0.0,1.2742910158014542e-05
DM_3hpppn_e,0.0,0.0
DM_3ump_e,0.0,0.0
DM_4abut_e,0.0,1.3762340503459258e-05
DM_4hoxpacd_e,0.0,0.0
DM_5dglcn_e,0.0,1.1098661484965078e-05
DM_5mtr_e,0.005651451423773324,0.00565424864583064
DM_LalaDglu_e,0.0,0.0
DM_LalaDgluMdap_e,0.0,1.0529554939537472e-05
DM_LalaDgluMdapDala_e,0.0,2.8434608219662927e-06
DM_LalaLglu_e,0.0,0.0
DM_ac_e,0.0,0.0
DM_acac_e,0.0,0.0
DM_acald_e,0.0,2.5175014700784537e-05
DM_acgal_e,0.0,0.0
DM_acgal1p_e,0.0,0.0
DM_acgam_e,0.0,0.0
DM_acgam1p_e,0.0,0.0
DM_acmana_e,0.0,0.0
DM_acmum_e,0.0,0.0
DM_acnam_e,0.0,0.0
DM_acolipa_e,0.0,0.0
DM_acser_e,0.0,0.0
DM_ade_e,0.0,3.521173097820792e-05
DM_adn_e,0.0,1.7764855057071996e-05
DM_adocbl_e,0.0,0.0
DM_ag_e,0.0,0.0
DM_agm_e,0.0,2.7731376869566393e-05
DM_akg_e,0.0,4.882380548010268e-05
DM_ala-B_e,0.0,0.0
DM_ala-D_e,0.0,5.0543242515931064e-05
DM_ala-L_e,0.0,0.0
DM_alaala_e,0.0,1.0119368310032052e-05
DM_all-D_e,0.0,0.0
DM_alltn_e,0.0,1.513269694797259e-05
DM_amp_e,0.0,0.0
DM_anhgm_e,0.0,2.7091240763455968e-06
DM_arab-L_e,0.0,0.0
DM_arbt_e,0.0,0.0
DM_arbtn_e,0.0,0.0
DM_arbtn-fe3_e,0.0,0.0
DM_arg-L_e,0.0,2.749834031520737e-05
DM_ascb-L_e,0.0,0.0
DM_asn-L_e,0.0,1.749450362617533e-05
DM_aso3_e,0.0,0.0
DM_asp-L_e,0.0,6.420956950370371e-05
DM_btn_e,0.0,0.0
DM_but_e,0.0,0.0
DM_butso3_e,0.0,0.0
DM_ca2_e,-0.004149775604104491,-0.004149760891244689
DM_cbi_e,0.0,0.0
DM_cbl1_e,-0.00018687398217191064,-0.00018687331961784445
DM_cd2_e,0.0,0.0
DM_cgly_e,0.0,7.167882960948532e-06
DM_chol_e,0.0,0.0
DM_chtbs_e,0.0,0.0
DM_cit_e,0.0,1.3065514870125305e-05
DM_cl_e,-0.004149775604104491,-0.004149760891244689
DM_cm_e,0.0,0.0
DM_cmp_e,0.0,0.0
DM_co2_e,14.690404748906454,14.690455377765618
DM_cobalt2_e,-2.011192677501465e-05,-2.011192677501465e-05
DM_colipa_e,0.0,8.608439122656866e-07
DM_colipap_e,0.0,0.0
DM_cpgn_e,0.0,0.0
DM_cpgn-un_e,0.0,0.0
DM_crn_e,0.0,0.0
DM_crn-D_e,0.0,0.0
