,minimum,maximum
DM_4CRSOL,2.23e-05,0.003446044407910358
DM_5DRIB,2.3100000000000002e-05,38.808254567293474
DM_AACALD,0.0,0.0
DM_AMOB,2e-07,2e-07
DM_MTHTHF,0.00013399999977536936,159.7106548384779
DM_OXAM,0.0,114.31171228056115
DM_12ppd-R_e,0.0,311.3520463595245
DM_12ppd-S_e,0.0,311.35204623750997
DM_14glucan_e,0.0,0.0
DM_15dap_e,0.0,138.37868721667377
DM_23camp_e,0.0,0.0
DM_23ccmp_e,0.0,0.0
DM_23cgmp_e,0.0,0.0
DM_23cump_e,0.0,0.0
DM_23dappa_e,0.0,0.0
DM_26dap-M_e,0.0,0.0
DM_2ddglcn_e,0.0,0.0
DM_34dhpac_e,0.0,0.0
DM_3amp_e,0.0,0.0
DM_3cmp_e,0.0,0.0
DM_3gmp_e,0.0,0.0
DM_3hcinnm_e,0.0,0.0
DM_3hpp_e,0.0,164.85029551026904
DM_3hpppn_e,0.0,0.0
DM_3ump_e,0.0,0.0
DM_4abut_e,0.0,215.66104842923932
DM_4hoxpacd_e,0.0,0.0
DM_5dglcn_e,0.0,8.16000000000031
DM_5mtr_e,0.0006743999999798689,54.74389132088154
DM_LalaDglu_e,0.0,0.0
DM_LalaDgluMdap_e,0.0,57.92596209070028
DM_LalaDgluMdapDala_e,0.0,48.935488609117364
DM_LalaLglu_e,0.0,0.0
DM_ac_e,0.0,498.3124520160219
DM_acac_e,0.0,0.0
DM_acald_e,0.0,488.39536664708237
DM_acgal_e,0.0,0.0
DM_acgal1p_e,0.0,0.0
DM_acgam_e,0.0,0.0
DM_acgam1p_e,0.0,0.0
DM_acmana_e,0.0,0.0
DM_acmum_e,0.0,0.0
DM_acnam_e,0.0,0.0
DM_acolipa_e,0.0,0.0
DM_acser_e,0.0,208.97411000000795
DM_ade_e,0.0,119.76277141556076
DM_adn_e,0.0,81.32521919511622
DM_adocbl_e,0.0,0.0
DM_ag_e,0.0,0.0
DM_agm_e,0.0,117.49133820283517
DM_akg_e,0.0,208.97411000000716
DM_ala-B_e,0.0,0.0
DM_ala-D_e,0.0,207.62642933000993
DM_ala-L_e,0.0,319.335432038477
DM_alaala_e,0.0,64.88295012812743
DM_all-D_e,0.0,0.0
DM_alltn_e,0.0,152.8886422631252
DM_amp_e,0.0,0.0
DM_anhgm_e,0.0,45.13579340999943
DM_arab-L_e,0.0,0.0
DM_arbt_e,0.0,0.0
DM_arbtn_e,0.0,0.0
DM_arbtn-fe3_e,0.0,0.0
DM_arg-L_e,0.0,116.93704473850275
DM_ascb-L_e,0.0,0.0
DM_asn-L_e,0.0,232.77417346262501
DM_aso3_e,0.0,0.0
DM_asp-L_e,0.0,261.21763750001094
DM_btn_e,0.0,0.0
DM_but_e,0.0,0.0
DM_butso3_e,0.0,0.0
DM_ca2_e,-0.07652382018729532,-0.0004952
DM_cbi_e,0.0,0.0
DM_cbl1_e,-0.0034460444066572817,-2.23e-05
DM_cd2_e,0.0,0.0
DM_cgly_e,0.0,136.44013447473029
DM_chol_e,0.0,0.0
DM_chtbs_e,0.0,0.0
DM_cit_e,0.0,174.14509166667412
DM_cl_e,-0.07652382018729573,-0.0004952
DM_cm_e,0.0,0.0
DM_cmp_e,0.0,0.0
DM_co2_e,-1000.0,44.86862580004126
DM_cobalt2_e,-0.0002048268827081105,-2.4000000000000003e-06
DM_colipa_e,0.0,5.243036991060349
DM_colipap_e,0.0,0.0
DM_cpgn_e,0.0,0.0
DM_cpgn-un_e,0.0,0.0
DM_crn_e,0.0,0.0
DM_crn-D_e,0.0,0.0
DM_csn_e,0.0,0.0
DM_cu_e,0.0,0.0
DM_cu2_e,-0.010415398789627927,-6.74e-05
DM_cyan_e,0.0,0.0
DM_cynt_e,0.0,0.0
DM_cys-D_e,0.0,0.0
DM_cys-L_e,0.0,208.67314684370604
DM_cytd_e,0.0,99.63291686480368
DM_dad-2_e,0.0,0.0
DM_damp_e,0.0,0.0
DM_dca_e,0.0,0.0
DM_dcmp_e,0.0,0.0
DM_dcyt_e,0.0,0.0
DM_ddca_e,0.0,0.0
DM_dgmp_e,0.0,0.0
DM_dgsn_e,0.0,0.0
DM_dha_e,0.0,346.0410826833472
DM_dimp_e,0.0,0.0
DM_din_e,0.0,0.0
DM_dms_e,0.0,0.0
DM_dmso_e,0.0,0.0
DM_dopa_e,0.0,0.0
DM_doxrbcn_e,0.0,0.0
DM_dtmp_e,0.0,0.0
DM_dump_e,0.0,0.0
DM_duri_e,0.0,0.0
DM_eca4colipa_e,0.0,0.0
DM_enlipa_e,0.0,0.0
DM_enter_e,0.0,30.090528928986828
DM_etha_e,0.0,0.0
DM_ethso3_e,0.0,0.0
DM_etoh_e,0.0,429.4510982586368
DM_f6p_e,0.0,0.0
DM_fald_e,0.0,0.0
DM_fe2_e,-1000.0,999.9984473
DM_fe3_e,-1000.0,999.9984473
DM_fe3dcit_e,0.0,0.0
DM_fe3dhbzs_e,0.0,0.0
DM_fe3hox_e,0.0,0.0
DM_fe3hox-un_e,0.0,0.0
DM_fecrm_e,0.0,0.0
DM_fecrm-un_e,0.0,0.0
DM_feenter_e,0.0,30.090473166086483
DM_feoxam_e,0.0,0.0
DM_feoxam-un_e,0.0,0.0
DM_for_e,0.0,1000.0
DM_fru_e,0.0,0.0
DM_frulys_e,0.0,0.0
DM_fruur_e,0.0,0.0
DM_fuc-L_e,0.0,0.0
DM_fum_e,0.0,0.0
DM_fusa_e,0.0,0.0
DM_g1p_e,0.0,0.0
DM_g3pc_e,0.0,0.0
DM_g3pe_e,0.0,0.0
DM_g3pg_e,0.0,0.0
DM_g3pi_e,0.0,0.0
DM_g3ps_e,0.0,0.0
DM_g6p_e,0.0,0.0
DM_gal_e,0.0,0.0
DM_gal-bD_e,0.0,0.0
DM_gal1p_e,0.0,0.0
DM_galct-D_e,0.0,0.0
DM_galctn-D_e,0.0,0.0
DM_galctn-L_e,0.0,0.0
DM_galt_e,0.0,0.0
DM_galur_e,0.0,0.0
DM_gam_e,0.0,0.0
DM_gam6p_e,0.0,0.0
DM_gbbtn_e,0.0,0.0
DM_gdp_e,0.0,0.0
DM_glc_e,-8.16,0.0
DM_glcn_e,0.0,8.16
DM_glcr_e,0.0,0.0
DM_glcur_e,0.0,0.0
DM_glcur1p_e,0.0,0.0
DM_gln-L_e,0.0,0.0
DM_glu-L_e,0.0,208.97411000000747
DM_gly_e,0.0,506.77764233471555
DM_glyald_e,0.0,346.0410826833489
DM_glyb_e,0.0,0.0
DM_glyc_e,0.0,341.20772190412157
DM_glyc-R_e,0.0,259.53083431251116
DM_glycogenn1_c,-2.382669277709725,-0.015418699999827368
DM_bglycogenn1_c,0.0,0.0
DM_glyc2p_e,0.0,0.0
DM_glyc3p_e,0.0,0.0
DM_glyclt_e,0.0,509.84628188911154
DM_gmp_e,0.0,0.0
DM_gsn_e,0.0,0.0
DM_gthox_e,0.0,0.0
DM_gthrd_e,0.0,83.58405925047161
DM_gtp_e,0.0,0.0
DM_gua_e,0.0,126.80762075765122
DM_h_e,-1000.0,1000.0
DM_h2_e,0.0,0.0
DM_h2o_e,-405.78874546003215,1000.0
DM_h2o2_e,0.0,0.0
DM_h2s_e,0.0,505.8786472416774
DM_hacolipa_e,0.0,0.0
DM_halipa_e,0.0,0.0
DM_hdca_e,0.0,0.0
DM_hdcea_e,0.0,0.0
DM_hg2_e,0.0,0.0
DM_his-L_e,0.0,122.13214682941687
DM_hom-L_e,0.0,254.16493570408895
DM_hxa_e,0.0,150.09216897163043
DM_hxan_e,0.0,135.58047502390437
DM_idon-L_e,0.0,8.16000000000031
DM_ile-L_e,0.0,150.95856787273323
DM_imp_e,0.0,0.0
DM_indole_e,0.0,94.37484073182202
DM_inost_e,0.0,0.0
DM_ins_e,0.0,88.65770863402017
DM_isetac_e,0.0,0.0
DM_k_e,-2.8694887258842745,-0.018569
DM_kdo2lipid4_e,0.0,10.813763790104531
DM_lac-D_e,0.0,348.2901833333505
DM_lac-L_e,0.0,346.0326788405422
DM_lcts_e,0.0,0.0
DM_leu-L_e,0.0,143.97452047631035
DM_lipa_e,0.0,8.236811137513378
DM_lipa_cold_e,0.0,7.9401073882055995
DM_lipoate_e,0.0,0.0
DM_lys-L_e,0.0,138.37868721667255
DM_lyx-L_e,0.0,0.0
DM_mal-D_e,0.0,0.0
DM_mal-L_e,0.0,261.2171564500113
DM_malt_e,0.0,0.0
DM_malthx_e,0.0,0.0
DM_maltpt_e,0.0,0.0
DM_malttr_e,0.0,0.0
DM_maltttr_e,0.0,0.0
DM_man_e,0.0,0.0
DM_man6p_e,0.0,0.0
DM_manglyc_e,0.0,0.0
DM_melib_e,0.0,0.0
DM_meoh_e,2e-07,2e-07
DM_met-D_e,0.0,0.0
DM_met-L_e,0.0,0.0
DM_metsox-R-L_e,0.0,0.0
DM_metsox-S-L_e,0.0,0.0
DM_mg2_e,-0.1275345492741822,-0.0008253000000000001
DM_mincyc_e,0.0,0.0
DM_minohp_e,0.0,0.0
DM_mmet_e,0.0,0.0
DM_mn2_e,-0.01016814896672869,-6.58e-05
DM_mnl_e,0.0,0.0
DM_mobd_e,-0.0021170766085742113,-1.3700000000000003e-05
DM_mso3_e,0.0,0.0
DM_n2o_e,0.0,0.0
DM_na1_e,0.0,0.0
DM_nac_e,0.0,0.0
DM_nh4_e,-1000.0,-1.0506278999984602
DM_ni2_e,-0.004744105976877975,-3.07e-05
DM_nmn_e,0.0,0.0
DM_no_e,0.0,0.0
DM_no2_e,0.0,998.949372100004
DM_no3_e,0.0,0.0
DM_novbcn_e,0.0,0.0
DM_o16a4colipa_e,0.0,0.0
DM_o2_e,-1000.0,0.0
DM_o2s_e,0.0,0.0
DM_ocdca_e,0.0,0.0
DM_ocdcea_e,0.0,0.0
DM_octa_e,0.0,0.0
DM_orn_e,0.0,156.65510146793181
DM_orot_e,0.0,0.0
DM_pacald_e,0.0,0.0
DM_peamn_e,0.0,0.0
DM_phe-L_e,0.0,105.39825675113246
DM_pheme_e,0.0,24.86591359931134
DM_pi_e,-21.720237567709766,-0.09266989999889574
DM_pnto-R_e,0.0,0.0
DM_ppa_e,0.0,0.0
DM_ppal_e,0.0,0.0
DM_pppn_e,0.0,0.0
DM_ppt_e,0.0,0.0
DM_pro-L_e,0.0,180.4939398832665
DM_progly_e,0.0,0.0
DM_psclys_e,0.0,0.0
DM_pser-L_e,0.0,0.0
DM_ptrc_e,0.0,157.64660568988018
DM_pydam_e,0.0,0.0
DM_pydx_e,0.0,0.0
DM_pydxn_e,0.0,0.0
DM_pyr_e,0.0,348.29018333334864
DM_quin_e,0.0,149.26694654286325
DM_r5p_e,0.0,0.0
DM_rfamp_e,0.0,0.0
DM_rib-D_e,0.0,0.0
DM_rmn_e,0.0,0.0
DM_sbt-D_e,0.0,0.0
DM_sel_e,0.0,0.0
DM_ser-D_e,0.0,0.0
DM_ser-L_e,0.0,348.28954193334954
DM_skm_e,0.0,0.0
DM_slnt_e,0.0,0.0
DM_so2_e,0.0,0.0
DM_so3_e,0.0,0.0
DM_so4_e,-505.90384554167923,-0.02519829999973165
DM_spmd_e,0.0,54.74321692088154
DM_succ_e,0.0,261.2176375000102
DM_sucr_e,0.0,0.0
DM_sulfac_e,0.0,0.0
DM_tartr-D_e,0.0,0.0
DM_tartr-L_e,0.0,0.0
DM_taur_e,0.0,0.0
DM_tcynt_e,0.0,0.0
DM_thm_e,0.0,0.0
DM_thr-L_e,0.0,249.08163699001165
DM_thrp_e,0.0,0.0
DM_thym_e,0.0,174.46245831774922
DM_thymd_e,0.0,95.43357740954355
DM_tma_e,0.0,0.0
DM_tmao_e,0.0,0.0
DM_tre_e,0.0,0.0
DM_trp-L_e,0.0,79.85563446538832
DM_tsul_e,0.0,0.0
DM_ttdca_e,0.0,0.0
DM_ttdcea_e,0.0,0.0
DM_ttrcyc_e,0.0,0.0
DM_tungs_e,0.0,0.0
DM_tym_e,0.0,0.0
DM_tyr-L_e,0.0,108.24685828494542
DM_tyrp_e,0.0,0.0
DM_uacgam_e,0.0,0.0
DM_udpacgal_e,0.0,0.0
DM_udpg_e,0.0,0.0
DM_udpgal_e,0.0,0.0
DM_udpglcur_e,0.0,0.0
DM_ump_e,0.0,0.0
DM_ura_e,0.0,227.7194192779048
DM_urea_e,0.0,230.6967227222316
DM_uri_e,0.0,114.78202358076739
DM_val-L_e,0.0,183.148262515004
DM_xan_e,0.0,141.82431268947937
DM_xmp_e,0.0,0.0
DM_xtsn_e,0.0,90.2716946347863
DM_xyl-D_e,0.0,0.0
DM_xylu-L_e,0.0,0.0
DM_zn2_e,-0.005006808915528951,-3.24e-05
12DGR120tipp,0.0,0.0
12DGR140tipp,0.0,0.0
12DGR141tipp,0.0,0.0
12DGR160tipp,0.0,0.0
12DGR161tipp,0.0,0.0
12DGR180tipp,0.0,0.0
12DGR181tipp,0.0,0.0
12PPDRtex,-311.3520463595245,0.0
12PPDRtpp,-311.3520463595245,0.0
12PPDStex,-311.35204623750997,0.0
12PPDStpp,-311.35204623750997,0.0
14GLUCANabcpp,0.0,0.0
14GLUCANtexi,0.0,0.0
23CAMPtex,0.0,0.0
23CCMPtex,0.0,0.0
23CGMPtex,0.0,0.0
23CUMPtex,0.0,0.0
23DAPPAt2pp,0.0,0.0
23DAPPAtex,0.0,0.0
23PDE2pp,0.0,0.0
23PDE4pp,0.0,0.0
23PDE7pp,0.0,0.0
23PDE9pp,0.0,0.0
26DAHtex,0.0,0.0
2AGPA120tipp,0.0,0.0
2AGPA140tipp,0.0,0.0
2AGPA141tipp,0.0,0.0
2AGPA160tipp,0.0,0.0
2AGPA161tipp,0.0,0.0
2AGPA180tipp,0.0,0.0
2AGPA181tipp,0.0,0.0
2AGPE120tipp,0.0,0.0
2AGPE140tipp,0.0,0.0
2AGPE141tipp,0.0,0.0
2AGPE160tipp,0.0,0.0
2AGPE161tipp,0.0,0.0
2AGPE180tipp,0.0,0.0
2AGPE181tipp,0.0,0.0
2AGPEAT120,0.0,0.0
2AGPEAT140,0.0,0.0
2AGPEAT141,0.0,0.0
2AGPEAT160,0.0,0.0
2AGPEAT161,0.0,0.0
2AGPEAT180,0.0,0.0
2AGPEAT181,0.0,0.0
2AGPG120tipp,0.0,0.0
2AGPG140tipp,0.0,0.0
2AGPG141tipp,0.0,0.0
2AGPG160tipp,0.0,0.0
2AGPG161tipp,0.0,0.0
2AGPG180tipp,0.0,0.0
2AGPG181tipp,0.0,0.0
2AGPGAT120,0.0,0.0
2AGPGAT140,0.0,0.0
2AGPGAT141,0.0,0.0
2AGPGAT160,0.0,0.0
2AGPGAT161,0.0,0.0
2AGPGAT180,0.0,0.0
2AGPGAT181,0.0,0.0
2MAHMP,0.0,999.9999777
34dhpactex,0.0,0.0
3AMACHYD,0.0,164.85029551026904
3AMPtex,0.0,0.0
3CMPtex,0.0,0.0
3GMPtex,0.0,0.0
3HAD100,0.0,47.75855409885188
3HAD120,0.0,48.868889105885316
3HAD121,0.0,7.924081861670633
3HAD140,0.0,8.23884245151931
3HAD141,0.0,7.924081861670633
3HAD160,0.0,1.8728137317505669
3HAD161,0.0094348,7.954378470385997
3HAD180,0.0,0.0
3HAD181,0.0,0.7514231182916998
3HAD40,0.0,46.68532847438023
3HAD60,0.0,46.68532847438041
3HAD80,0.0,46.68532847438041
3HPPtex,-164.84483652565228,0.0
3HPPtpp,0.0,164.85029551026904
3KGK,0.0,0.0
3NTD2pp,0.0,0.0
3NTD4pp,0.0,0.0
3NTD7pp,0.0,0.0
3NTD9pp,0.0,0.0
3OAS100,0.0,47.75855409885188
3OAS120,0.0,48.868889105885316
3OAS121,0.0,7.924081861670633
3OAS140,0.0032603999989078147,43.270818629167515
3OAS141,0.0,7.924081861670633
3OAS160,0.0,1.8728137317505669
3OAS161,0.0094348,7.954378470385997
3OAS180,0.0,0.0
3OAS181,0.0,0.7514231182916998
3OAS60,0.0,46.68532847438023
3OAS80,0.0,46.68532847438041
3OXCOAT,0.0,0.0
3PEPTabcpp,0.0,168.62621574722803
3PEPTtex,-57.92596209070028,0.0
3UMPtex,0.0,0.0
42A12BOOXpp,0.0,0.0
4HOXPACDtex,0.0,0.0
4HTHRS,0.0,0.0
4PCP,0.0,168.62621574722522
4PCPpp,0.0,168.6262157472277
4PEPTabcpp,0.0,168.62621574722522
4PEPTtex,-48.935488609117364,0.0
5DGLCNt2rpp,-8.16000000000031,0.0
