,minimum,maximum
DM_4CRSOL,0.0001115,0.002759083121905295
DM_5DRIB,0.00011550000000000002,27.963339598400864
DM_AACALD,0.0,0.0
DM_AMOB,1e-06,1e-06
DM_MTHTHF,0.00067,124.69227956123514
DM_OXAM,0.0,84.15941389584063
Ec_biomass_iJO1366_WT_53p95M,0.5,12.37257005338699
Ec_biomass_iJO1366_core_53p95M,0.0,0.0
DM_12ppd-R_e,0.0,254.57870285418758
DM_12ppd-S_e,0.0,226.29218031484316
DM_14glucan_e,0.0,0.0
DM_15dap_e,0.0,105.69779263422899
DM_23camp_e,0.0,0.0
DM_23ccmp_e,0.0,0.0
DM_23cgmp_e,0.0,0.0
DM_23cump_e,0.0,0.0
DM_23dappa_e,0.0,0.0
DM_26dap-M_e,0.0,0.0
DM_2ddglcn_e,0.0,0.0
DM_34dhpac_e,0.0,0.0
DM_3amp_e,0.0,0.0
DM_3cmp_e,0.0,0.0
DM_3gmp_e,0.0,0.0
DM_3hcinnm_e,0.0,0.0
DM_3hpp_e,0.0,169.6192511944591
DM_3hpppn_e,0.0,0.0
DM_3ump_e,0.0,0.0
DM_4abut_e,0.0,176.44040972442136
DM_4hoxpacd_e,0.0,0.0
DM_5dglcn_e,0.0,8.16000000000031
DM_5mtr_e,0.0033720000000130312,37.48735278834729
DM_LalaDglu_e,0.0,0.0
DM_LalaDgluMdap_e,0.0,40.732592456671476
DM_LalaDgluMdapDala_e,0.0,35.73034426023696
DM_LalaLglu_e,0.0,0.0
DM_ac_e,0.0,449.0341177867026
DM_acac_e,0.0,0.0
DM_acald_e,0.0,407.08620286670225
DM_acgal_e,0.0,0.0
DM_acgal1p_e,0.0,0.0
DM_acgam_e,0.0,0.0
DM_acgam1p_e,0.0,0.0
DM_acmana_e,0.0,0.0
DM_acmum_e,0.0,0.0
DM_acnam_e,0.0,0.0
DM_acolipa_e,0.0,0.0
DM_acser_e,0.0,175.1240386198052
DM_ade_e,0.0,95.72248387250528
DM_adn_e,0.0,62.98905720103892
DM_adocbl_e,0.0,0.0
DM_ag_e,0.0,0.0
DM_agm_e,0.0,94.94886455509263
DM_akg_e,0.0,203.34447872501732
DM_ala-B_e,0.0,0.0
DM_ala-D_e,0.0,150.86859439507873
DM_ala-L_e,0.0,249.0653000870085
DM_alaala_e,0.0,50.91681144583781
DM_all-D_e,0.0,0.0
DM_alltn_e,0.0,118.66558408824434
DM_amp_e,0.0,0.0
DM_anhgm_e,0.0,34.51914614972116
DM_arab-L_e,0.0,0.0
DM_arbt_e,0.0,0.0
DM_arbtn_e,0.0,0.0
DM_arbtn-fe3_e,0.0,0.0
DM_arg-L_e,0.0,94.5482364346059
DM_ascb-L_e,0.0,0.0
DM_asn-L_e,0.0,188.3019498739641
DM_aso3_e,0.0,0.0
DM_asp-L_e,0.0,246.2410113736419
DM_btn_e,0.0,0.0
DM_but_e,0.0,0.0
DM_butso3_e,0.0,0.0
DM_ca2_e,-0.06126896690437211,-0.002476
DM_cbi_e,0.0,0.0
DM_cbl1_e,-0.0027590831219053134,-0.0001115
DM_cd2_e,0.0,0.0
DM_cgly_e,0.0,96.06239647619728
DM_chol_e,0.0,0.0
DM_chtbs_e,0.0,0.0
DM_cit_e,0.0,171.4187916666762
DM_cl_e,-0.0612689669043727,-0.002476
DM_cm_e,0.0,0.0
DM_cmp_e,0.0,0.0
DM_co2_e,-1000.0,28.51275000005514
DM_cobalt2_e,-0.00023558584162911543,-1.2e-05
DM_colipa_e,0.0,4.035542866909049
DM_colipap_e,0.0,0.0
DM_cpgn_e,0.0,0.0
DM_cpgn-un_e,0.0,0.0
DM_crn_e,0.0,0.0
DM_crn-D_e,0.0,0.0
DM_csn_e,0.0,0.0
DM_cu_e,0.0,0.0
DM_cu2_e,-0.008339112215982828,-0.000337
DM_cyan_e,0.0,0.0
DM_cynt_e,0.0,0.0
DM_cys-D_e,0.0,0.0
DM_cys-L_e,0.0,134.48766198140876
DM_cytd_e,0.0,77.34347543883696
DM_dad-2_e,0.0,0.0
DM_damp_e,0.0,0.0
DM_dca_e,0.0,0.0
DM_dcmp_e,0.0,0.0
DM_dcyt_e,0.0,0.0
DM_ddca_e,0.0,0.0
