,fluxes
DM_4CRSOL,2.4085338740200366e-05
DM_5DRIB,2.4949386766754645e-05
DM_AACALD,0.0
DM_AMOB,2.160120066385683e-07
DM_MTHTHF,0.0001447280444478408
DM_OXAM,0.0
DM_12ppd-R_e,0.0
DM_12ppd-S_e,0.0
DM_14glucan_e,0.0
DM_15dap_e,0.0
DM_23camp_e,0.0
DM_23ccmp_e,0.0
DM_23cgmp_e,0.0
DM_23cump_e,0.0
DM_23dappa_e,0.0
DM_26dap-M_e,0.0
DM_2ddglcn_e,0.0
DM_34dhpac_e,0.0
DM_3amp_e,0.0
DM_3cmp_e,0.0
DM_3gmp_e,0.0
DM_3hcinnm_e,-0.0
DM_3hpp_e,0.0
DM_3hpppn_e,-0.0
DM_3ump_e,0.0
DM_4abut_e,0.0
DM_4hoxpacd_e,0.0
DM_5dglcn_e,0.0
DM_5mtr_e,0.0007283924863852524
DM_LalaDglu_e,-0.0
DM_LalaDgluMdap_e,0.0
DM_LalaDgluMdapDala_e,0.0
DM_LalaLglu_e,0.0
DM_ac_e,8.441761082094576
DM_acac_e,-0.0
DM_acald_e,0.0
DM_acgal_e,-0.0
DM_acgal1p_e,0.0
DM_acgam_e,0.0
DM_acgam1p_e,0.0
DM_acmana_e,0.0
DM_acmum_e,0.0
DM_acnam_e,0.0
DM_acolipa_e,0.0
DM_acser_e,0.0
DM_ade_e,0.0
DM_adn_e,0.0
DM_adocbl_e,0.0
DM_ag_e,-0.0
DM_agm_e,0.0
DM_akg_e,0.0
DM_ala-B_e,0.0
DM_ala-D_e,0.0
DM_ala-L_e,0.0
DM_alaala_e,0.0
DM_all-D_e,0.0
DM_alltn_e,0.0
DM_amp_e,0.0
DM_anhgm_e,0.0
DM_arab-L_e,-0.0
DM_arbt_e,0.0
DM_arbtn_e,0.0
DM_arbtn-fe3_e,0.0
DM_arg-L_e,0.0
DM_ascb-L_e,0.0
DM_asn-L_e,0.0
DM_aso3_e,-0.0
DM_asp-L_e,0.0
DM_btn_e,0.0
DM_but_e,0.0
DM_butso3_e,0.0
DM_ca2_e,-0.0005348457284370951
DM_cbi_e,0.0
DM_cbl1_e,-2.4085338740200366e-05
DM_cd2_e,-0.0
DM_cgly_e,0.0
DM_chol_e,0.0
DM_chtbs_e,0.0
DM_cit_e,0.0
DM_cl_e,-0.0005348457284370951
DM_cm_e,-0.0
DM_cmp_e,0.0
DM_co2_e,8.699626333070407
DM_cobalt2_e,-2.59214407966282e-06
DM_colipa_e,0.0
DM_colipap_e,0.0
DM_cpgn_e,0.0
DM_cpgn-un_e,0.0
DM_crn_e,0.0
DM_crn-D_e,-0.0
DM_csn_e,0.0
DM_cu_e,0.0
DM_cu2_e,-7.279604623719753e-05
DM_cyan_e,0.0
DM_cynt_e,0.0
DM_cys-D_e,0.0
DM_cys-L_e,0.0
DM_cytd_e,0.0
DM_dad-2_e,0.0
DM_damp_e,0.0
DM_dca_e,0.0
DM_dcmp_e,0.0
DM_dcyt_e,0.0
DM_ddca_e,0.0
DM_dgmp_e,0.0
DM_dgsn_e,0.0
DM_dha_e,0.0
DM_dimp_e,0.0
DM_din_e,0.0
DM_dms_e,0.0
DM_dmso_e,0.0
DM_dopa_e,0.0
DM_doxrbcn_e,-0.0
DM_dtmp_e,0.0
DM_dump_e,0.0
DM_duri_e,0.0
DM_eca4colipa_e,0.0
DM_enlipa_e,0.0
DM_enter_e,0.0
DM_etha_e,0.0
DM_ethso3_e,0.0
DM_etoh_e,0.0
DM_f6p_e,0.0
DM_fald_e,0.0
DM_fe2_e,-0.0016770092135385251
DM_fe3_e,0.0
DM_fe3dcit_e,0.0
DM_fe3dhbzs_e,0.0
DM_fe3hox_e,0.0
