,minimum,maximum
DM_4CRSOL,2.23e-05,0.0027590831219052943
DM_5DRIB,2.3100000000000002e-05,28.905337738361446
DM_AACALD,0.0,0.0
DM_AMOB,2e-07,2e-07
DM_MTHTHF,0.000134,128.89393246735347
DM_OXAM,0.0,86.49135987917062
Ec_biomass_iJO1366_WT_53p95M,0.1,12.372570053386996
Ec_biomass_iJO1366_core_53p95M,0.0,0.0
DM_12ppd-R_e,0.0,261.6390819825901
DM_12ppd-S_e,0.0,233.91837499631077
DM_14glucan_e,0.0,0.0
DM_15dap_e,0.0,108.53129880639356
DM_23camp_e,0.0,0.0
DM_23ccmp_e,0.0,0.0
DM_23cgmp_e,0.0,0.0
DM_23cump_e,0.0,0.0
DM_23dappa_e,0.0,0.0
DM_26dap-M_e,0.0,0.0
DM_2ddglcn_e,0.0,0.0
DM_34dhpac_e,0.0,0.0
DM_3amp_e,0.0,0.0
DM_3cmp_e,0.0,0.0
DM_3gmp_e,0.0,0.0
DM_3hcinnm_e,0.0,0.0
DM_3hpp_e,0.0,175.41880443889963
DM_3hpppn_e,0.0,0.0
DM_3ump_e,0.0,0.0
DM_4abut_e,0.0,181.1703570551287
DM_4hoxpacd_e,0.0,0.0
DM_5dglcn_e,0.0,8.16000000000031
DM_5mtr_e,0.0006743999999798689,38.74788989018579
DM_LalaDglu_e,0.0,0.0
DM_LalaDgluMdap_e,0.0,42.10530749933613
DM_LalaDgluMdapDala_e,0.0,36.93448026257533
DM_LalaLglu_e,0.0,0.0
DM_ac_e,0.0,460.6083388253632
DM_acac_e,0.0,0.0
DM_acald_e,0.0,418.60509686669013
DM_acgal_e,0.0,0.0
DM_acgal1p_e,0.0,0.0
DM_acgam_e,0.0,0.0
DM_acgam1p_e,0.0,0.0
DM_acmana_e,0.0,0.0
DM_acmum_e,0.0,0.0
DM_acnam_e,0.0,0.0
DM_acolipa_e,0.0,0.0
DM_acser_e,0.0,179.8693775868955
DM_ade_e,0.0,98.14766853050493
DM_adn_e,0.0,65.1114026896943
DM_adocbl_e,0.0,0.0
DM_ag_e,0.0,0.0
DM_agm_e,0.0,97.49421756780136
DM_akg_e,0.0,208.97411000000804
DM_ala-B_e,0.0,0.0
DM_ala-D_e,0.0,155.9470115012436
DM_ala-L_e,0.0,255.8142258938674
DM_alaala_e,0.0,52.63184854917
DM_all-D_e,0.0,0.0
DM_alltn_e,0.0,122.07590801765059
DM_amp_e,0.0,0.0
DM_anhgm_e,0.0,35.68237701299626
DM_arab-L_e,0.0,0.0
DM_arbt_e,0.0,0.0
DM_arbtn_e,0.0,0.0
DM_arbtn-fe3_e,0.0,0.0
DM_arg-L_e,0.0,97.0828495611834
DM_ascb-L_e,0.0,0.0
DM_asn-L_e,0.0,193.34987685714904
DM_aso3_e,0.0,0.0
DM_asp-L_e,0.0,252.8421466593562
DM_btn_e,0.0,0.0
DM_but_e,0.0,0.0
DM_butso3_e,0.0,0.0
DM_ca2_e,-0.06126896690437244,-0.0004952
DM_cbi_e,0.0,0.0
DM_cbl1_e,-0.002759083121905288,-2.23e-05
DM_cd2_e,0.0,0.0
DM_cgly_e,0.0,98.82335410952864
DM_chol_e,0.0,0.0
DM_chtbs_e,0.0,0.0
DM_cit_e,0.0,174.14509166667352
DM_cl_e,-0.06126896690437213,-0.0004952
DM_cm_e,0.0,0.0
DM_cmp_e,0.0,0.0
DM_co2_e,-1000.0,44.868625800044235
DM_cobalt2_e,-0.00012153572476304412,-2.4000000000000003e-06
DM_colipa_e,0.0,4.171595855284052
DM_colipap_e,0.0,0.0
DM_cpgn_e,0.0,0.0
DM_cpgn-un_e,0.0,0.0
DM_crn_e,0.0,0.0
DM_crn-D_e,0.0,0.0
DM_csn_e,0.0,0.0
DM_cu_e,0.0,0.0
DM_cu2_e,-0.008339112215982809,-6.74e-05
DM_cyan_e,0.0,0.0
DM_cynt_e,0.0,0.0
DM_cys-D_e,0.0,0.0
DM_cys-L_e,0.0,138.35269575334064
DM_cytd_e,0.0,79.94740838987803
DM_dad-2_e,0.0,0.0
DM_damp_e,0.0,0.0
DM_dca_e,0.0,0.0
DM_dcmp_e,0.0,0.0
DM_dcyt_e,0.0,0.0
DM_ddca_e,0.0,0.0
DM_dgmp_e,0.0,0.0
DM_dgsn_e,0.0,0.0
DM_dha_e,0.0,263.1581718708506
DM_dimp_e,0.0,0.0
DM_din_e,0.0,0.0
DM_dms_e,0.0,0.0
DM_dmso_e,0.0,0.0
DM_dopa_e,0.0,0.0
DM_doxrbcn_e,0.0,0.0
DM_dtmp_e,0.0,0.0
DM_dump_e,0.0,0.0
DM_duri_e,0.0,0.0
DM_eca4colipa_e,0.0,0.0
DM_enlipa_e,0.0,0.0
DM_enter_e,0.0,22.883319293116983
DM_etha_e,0.0,0.0
DM_ethso3_e,0.0,0.0
DM_etoh_e,0.0,371.3432311434628
DM_f6p_e,0.0,0.0
DM_fald_e,0.0,0.0
DM_fe2_e,-1000.0,999.9984473
DM_fe3_e,-1000.0,999.9984473
DM_fe3dcit_e,0.0,0.0
DM_fe3dhbzs_e,0.0,0.0
DM_fe3hox_e,0.0,0.0
DM_fe3hox-un_e,0.0,0.0
DM_fecrm_e,0.0,0.0
DM_fecrm-un_e,0.0,0.0
DM_feenter_e,0.0,22.883319293117022
DM_feoxam_e,0.0,0.0
DM_feoxam-un_e,0.0,0.0
DM_for_e,0.0,1000.0
DM_fru_e,0.0,0.0
DM_frulys_e,0.0,0.0
DM_fruur_e,0.0,0.0
DM_fuc-L_e,0.0,0.0
DM_fum_e,0.0,0.0
DM_fusa_e,0.0,0.0
DM_g1p_e,0.0,0.0
DM_g3pc_e,0.0,0.0
DM_g3pe_e,0.0,0.0
DM_g3pg_e,0.0,0.0
DM_g3pi_e,0.0,0.0
DM_g3ps_e,0.0,0.0
DM_g6p_e,0.0,0.0
DM_gal_e,0.0,0.0
DM_gal-bD_e,0.0,0.0
DM_gal1p_e,0.0,0.0
DM_galct-D_e,0.0,0.0
DM_galctn-D_e,0.0,0.0
DM_galctn-L_e,0.0,0.0
DM_galt_e,0.0,0.0
DM_galur_e,0.0,0.0
DM_gam_e,0.0,0.0
DM_gam6p_e,0.0,0.0
DM_gbbtn_e,0.0,0.0
DM_gdp_e,0.0,0.0
DM_glc_e,-8.16,0.0
DM_glcn_e,0.0,8.16
DM_glcr_e,0.0,0.0
DM_glcur_e,0.0,0.0
DM_glcur1p_e,0.0,0.0
DM_gln-L_e,0.0,0.0
DM_glu-L_e,0.0,179.7549636406337
DM_gly_e,0.0,432.157348298125
DM_glyald_e,0.0,263.15817187084906
DM_glyb_e,0.0,0.0
DM_glyc_e,0.0,263.15817187084303
DM_glyc-R_e,0.0,210.5006381266797
DM_glycogenn1_c,-1.907689458821577,-0.015418699999827368
DM_bglycogenn1_c,0.0,0.0
DM_glyc2p_e,0.0,0.0
DM_glyc3p_e,0.0,0.0
DM_glyclt_e,0.0,421.0051663333793
DM_gmp_e,0.0,0.0
DM_gsn_e,0.0,0.0
DM_gthox_e,0.0,0.0
DM_gthrd_e,0.0,65.66763774531694
DM_gtp_e,0.0,0.0
DM_gua_e,0.0,99.13904232374264
DM_h_e,-1000.0,1000.0
DM_h2_e,0.0,0.0
DM_h2o_e,-405.78884692002543,1000.0
DM_h2o2_e,0.0,0.0
DM_h2s_e,0.0,259.4026984375113
DM_hacolipa_e,0.0,0.0
DM_halipa_e,0.0,0.0
DM_hdca_e,0.0,0.0
DM_hdcea_e,0.0,0.0
DM_hg2_e,0.0,0.0
DM_his-L_e,0.0,90.22565892714776
DM_hom-L_e,0.0,194.9884351356033
DM_hxa_e,0.0,129.38436483858308
DM_hxan_e,0.0,112.16868833200482
DM_idon-L_e,0.0,8.16000000000031
DM_ile-L_e,0.0,121.8162980482674
DM_imp_e,0.0,0.0
DM_indole_e,0.0,72.59535775747395
DM_inost_e,0.0,0.0
DM_ins_e,0.0,69.40435302088365
DM_isetac_e,0.0,0.0
DM_k_e,-2.297462533213432,-0.018569
DM_kdo2lipid4_e,0.0,8.675544127610232
DM_lac-D_e,0.0,319.8669019620672
DM_lac-L_e,0.0,233.91837504093573
DM_lcts_e,0.0,0.0
DM_leu-L_e,0.0,110.79082385614625
DM_lipa_e,0.0,6.75486216566871
DM_lipa_cold_e,0.0,6.504424433470882
DM_lipoate_e,0.0,0.0
DM_lys-L_e,0.0,108.53129880189303
DM_lyx-L_e,0.0,0.0
DM_mal-D_e,0.0,0.0
DM_mal-L_e,0.0,261.21763750000684
DM_malt_e,0.0,0.0
DM_malthx_e,0.0,0.0
DM_maltpt_e,0.0,0.0
DM_malttr_e,0.0,0.0
DM_maltttr_e,0.0,0.0
DM_man_e,0.0,0.0
DM_man6p_e,0.0,0.0
DM_manglyc_e,0.0,0.0
DM_melib_e,0.0,0.0
DM_meoh_e,2e-07,2e-07
DM_met-D_e,0.0,0.0
DM_met-L_e,0.0,0.0
DM_metsox-R-L_e,0.0,0.0
DM_metsox-S-L_e,0.0,0.0
DM_mg2_e,-0.1021108206506023,-0.0008253000000000001
DM_mincyc_e,0.0,0.0
DM_minohp_e,0.0,0.0
DM_mmet_e,0.0,0.0
DM_mn2_e,-0.008141151095128646,-6.58e-05
DM_mnl_e,0.0,0.0
DM_mobd_e,-0.0016950420973140192,-1.3700000000000003e-05
DM_mso3_e,0.0,0.0
DM_n2o_e,0.0,0.0
DM_na1_e,0.0,0.0
DM_nac_e,0.0,0.0
DM_nh4_e,-1000.0,-1.0506278999973064
DM_ni2_e,-0.0037983790063898086,-3.07e-05
DM_nmn_e,0.0,0.0
DM_no_e,0.0,0.0
