,minimum,maximum
DM_4CRSOL,0.0001115,0.0034460444066572978
DM_5DRIB,0.00011550000000000002,37.79753451869381
DM_AACALD,0.0,0.0
DM_AMOB,1e-06,1e-06
DM_MTHTHF,0.00067,155.55019726923953
DM_OXAM,0.0,111.69808741642758
DM_12ppd-R_e,0.0,304.5156563594878
DM_12ppd-S_e,0.0,304.534103800018
DM_14glucan_e,0.0,0.0
DM_15dap_e,0.0,135.3484905777852
DM_23camp_e,0.0,0.0
DM_23ccmp_e,0.0,0.0
DM_23cgmp_e,0.0,0.0
DM_23cump_e,0.0,0.0
DM_23dappa_e,0.0,0.0
DM_26dap-M_e,0.0,0.0
DM_2ddglcn_e,0.0,0.0
DM_34dhpac_e,0.0,0.0
DM_3amp_e,0.0,0.0
DM_3cmp_e,0.0,0.0
DM_3gmp_e,0.0,0.0
DM_3hcinnm_e,0.0,0.0
DM_3hpp_e,0.0,158.64773708975974
DM_3hpppn_e,0.0,0.0
DM_3ump_e,0.0,0.0
DM_4abut_e,0.0,211.12854839160806
DM_4hoxpacd_e,0.0,0.0
DM_5dglcn_e,0.0,8.16000000000031
DM_5mtr_e,0.0033720000000130312,53.54782981099137
DM_LalaDglu_e,0.0,0.0
DM_LalaDgluMdap_e,0.0,56.65746903200534
DM_LalaDgluMdapDala_e,0.0,47.86390629469865
DM_LalaLglu_e,0.0,0.0
DM_ac_e,0.0,488.0033738200271
DM_acac_e,0.0,0.0
DM_acald_e,0.0,477.70055498042393
DM_acgal_e,0.0,0.0
DM_acgal1p_e,0.0,0.0
DM_acgam_e,0.0,0.0
DM_acgam1p_e,0.0,0.0
DM_acmana_e,0.0,0.0
DM_acmum_e,0.0,0.0
DM_acnam_e,0.0,0.0
DM_acolipa_e,0.0,0.0
DM_acser_e,0.0,205.70255000001103
DM_ade_e,0.0,117.27642746667377
DM_adn_e,0.0,79.56320731203463
DM_adocbl_e,0.0,0.0
DM_ag_e,0.0,0.0
DM_agm_e,0.0,114.9185297358541
DM_akg_e,0.0,205.7025500000218
DM_ala-B_e,0.0,0.0
DM_ala-D_e,0.0,202.22277910002225
DM_ala-L_e,0.0,312.3237500513008
DM_alaala_e,0.0,63.19323107812895
DM_all-D_e,0.0,0.0
DM_alltn_e,0.0,149.71571307447695
DM_amp_e,0.0,0.0
DM_anhgm_e,0.0,43.95964901087194
DM_arab-L_e,0.0,0.0
DM_arbt_e,0.0,0.0
DM_arbtn_e,0.0,0.0
DM_arbtn-fe3_e,0.0,0.0
DM_arg-L_e,0.0,114.3790061357211
DM_ascb-L_e,0.0,0.0
DM_asn-L_e,0.0,227.68904957010884
DM_aso3_e,0.0,0.0
DM_asp-L_e,0.0,257.1281875000129
DM_btn_e,0.0,0.0
DM_but_e,0.0,0.0
DM_butso3_e,0.0,0.0
DM_ca2_e,-0.07652382018729577,-0.002476
DM_cbi_e,0.0,0.0
DM_cbl1_e,-0.003446044406657299,-0.0001115
DM_cd2_e,0.0,0.0
DM_cgly_e,0.0,133.5650119835247
DM_chol_e,0.0,0.0
DM_chtbs_e,0.0,0.0
DM_cit_e,0.0,171.41718816667384
DM_cl_e,-0.07652382061743185,-0.002476
DM_cm_e,0.0,0.0
DM_cmp_e,0.0,0.0
DM_co2_e,-1000.0,28.512750000090822
DM_cobalt2_e,-0.0003708710650355976,-1.2e-05
DM_colipa_e,0.0,5.106423875000341
DM_colipap_e,0.0,0.0
DM_cpgn_e,0.0,0.0
DM_cpgn-un_e,0.0,0.0
DM_crn_e,0.0,0.0
DM_crn-D_e,0.0,0.0
DM_csn_e,0.0,0.0
DM_cu_e,0.0,0.0
DM_cu2_e,-0.010415398789627883,-0.000337
DM_cyan_e,0.0,0.0
DM_cynt_e,0.0,0.0
DM_cys-D_e,0.0,0.0
DM_cys-L_e,0.0,204.27590070511448
DM_cytd_e,0.0,97.45222357797903
DM_dad-2_e,0.0,0.0
DM_damp_e,0.0,0.0
DM_dca_e,0.0,0.0
DM_dcmp_e,0.0,0.0
DM_dcyt_e,0.0,0.0
DM_ddca_e,0.0,0.0
DM_dgmp_e,0.0,0.0
DM_dgsn_e,0.0,0.0
DM_dha_e,0.0,337.0239758711612
DM_dimp_e,0.0,0.0
DM_din_e,0.0,0.0
DM_dms_e,0.0,0.0
DM_dmso_e,0.0,0.0
DM_dopa_e,0.0,0.0
DM_doxrbcn_e,0.0,0.0
DM_dtmp_e,0.0,0.0
