,minimum,maximum
DM_4CRSOL,0.0034460444066572926,0.0034460444070742165
DM_5DRIB,0.0035696693181068817,0.003580071584754548
DM_AACALD,0.0,0.0
DM_AMOB,3.090622786239724e-05,3.090622586239724e-05
DM_MTHTHF,0.020707172667806157,0.020717573825744892
DM_OXAM,0.0,1.2293858147049974e-05
DM_12ppd-R_e,0.0,2.2659880159203727e-05
DM_12ppd-S_e,0.0,2.265989064897944e-05
DM_14glucan_e,0.0,0.0
DM_15dap_e,0.0,1.352325219361461e-05
DM_23camp_e,0.0,0.0
DM_23ccmp_e,0.0,0.0
DM_23cgmp_e,0.0,0.0
DM_23cump_e,0.0,0.0
DM_23dappa_e,0.0,0.0
DM_26dap-M_e,0.0,0.0
DM_2ddglcn_e,0.0,0.0
DM_34dhpac_e,0.0,0.0
DM_3amp_e,0.0,0.0
DM_3cmp_e,0.0,0.0
DM_3gmp_e,0.0,0.0
DM_3hcinnm_e,0.0,0.0
DM_3hpp_e,0.0,0.0
DM_3hpppn_e,0.0,0.0
DM_3ump_e,0.0,0.0
DM_4abut_e,0.0,1.6904055769373372e-05
DM_4hoxpacd_e,0.0,0.0
DM_5dglcn_e,0.0,1.2353929491837334e-05
DM_5mtr_e,0.1042158003520035,0.10421955006498873
DM_LalaDglu_e,0.0,0.0
DM_LalaDgluMdap_e,0.0,3.863785052404811e-06
DM_LalaDgluMdapDala_e,0.0,3.4674994111028035e-06
DM_LalaLglu_e,0.0,0.0
DM_ac_e,0.0,4.5319763631646026e-05
DM_acac_e,0.0,0.0
DM_acald_e,0.0,3.398982317032173e-05
DM_acgal_e,0.0,0.0
DM_acgal1p_e,0.0,0.0
DM_acgam_e,0.0,0.0
DM_acgam1p_e,0.0,0.0
DM_acmana_e,0.0,0.0
DM_acmum_e,0.0,0.0
DM_acnam_e,0.0,0.0
DM_acolipa_e,0.0,0.0
DM_acser_e,0.0,1.699491143414278e-05
DM_ade_e,0.0,1.0458410174024602e-05
DM_adn_e,0.0,5.911273155384533e-06
DM_adocbl_e,0.0,0.0
DM_ag_e,0.0,0.0
DM_agm_e,0.0,1.0453322932341136e-05
DM_akg_e,0.0,1.6994908572293133e-05
DM_ala-B_e,0.0,0.0
DM_ala-D_e,0.0,3.380812596803784e-05
DM_ala-L_e,0.0,3.3808122093026416e-05
DM_alaala_e,0.0,1.6904056544218837e-05
DM_all-D_e,0.0,0.0
DM_alltn_e,0.0,1.1269369809774332e-05
DM_amp_e,0.0,0.0
DM_anhgm_e,0.0,2.93983730659253e-06
DM_arab-L_e,0.0,0.0
DM_arbt_e,0.0,0.0
DM_arbtn_e,0.0,0.0
DM_arbtn-fe3_e,0.0,0.0
DM_arg-L_e,0.0,1.0402494805994422e-05
DM_ascb-L_e,0.0,0.0
DM_asn-L_e,0.0,2.2659885317508066e-05
DM_aso3_e,0.0,0.0
DM_asp-L_e,0.0,3.3989828978064907e-05
DM_btn_e,0.0,0.0
DM_but_e,0.0,0.0
DM_butso3_e,0.0,0.0
DM_ca2_e,-0.07652382018729556,-0.07652381523529557
DM_cbi_e,0.0,0.0
DM_cbl1_e,-0.0034460444066572926,-0.0034460441836572926
DM_cd2_e,0.0,0.0
DM_cgly_e,0.0,9.711380016742821e-06
DM_chol_e,0.0,0.0
DM_chtbs_e,0.0,0.0
DM_cit_e,0.0,1.6986649468836434e-05
DM_cl_e,-0.07652382018729556,-0.07652381523529557
DM_cm_e,0.0,0.0
DM_cmp_e,0.0,0.0
DM_co2_e,-945.9447663071303,-582.987326764818
DM_cobalt2_e,-0.00037087473439201285,-0.00037087471034876694
DM_colipa_e,0.0,3.414958662240064e-07
DM_colipap_e,0.0,0.0
DM_cpgn_e,0.0,0.0
DM_cpgn-un_e,0.0,0.0
DM_crn_e,0.0,0.0
DM_crn-D_e,0.0,0.0
DM_csn_e,0.0,0.0
DM_cu_e,0.0,0.0
DM_cu2_e,-0.010415398790842361,-0.010415398115627871
DM_cyan_e,0.0,0.0
DM_cynt_e,0.0,0.0
DM_cys-D_e,0.0,0.0
DM_cys-L_e,0.0,1.5099244955442404e-05
DM_cytd_e,0.0,7.155751419837819e-06
DM_dad-2_e,0.0,0.0
DM_damp_e,0.0,0.0
DM_dca_e,0.0,0.0
DM_dcmp_e,0.0,0.0
DM_dcyt_e,0.0,0.0
DM_ddca_e,0.0,0.0
DM_dgmp_e,0.0,0.0
DM_dgsn_e,0.0,0.0
DM_dha_e,0.0,2.2538751764500375e-05
DM_dimp_e,0.0,0.0
DM_din_e,0.0,0.0
DM_dms_e,0.0,0.0
