,minimum,maximum
DM_4CRSOL,0.002759082898905301,0.0027590831223945713
DM_5DRIB,0.0028580634513323973,0.0028685659612465732
DM_AACALD,0.0,0.0
DM_AMOB,2.4745138106774e-05,2.4745138106774e-05
DM_MTHTHF,0.016579242531538585,0.016589745041452757
DM_OXAM,0.0,1.0721314322559294e-05
Ec_biomass_iJO1366_WT_53p95M,12.372569053387,12.372570055580995
Ec_biomass_iJO1366_core_53p95M,0.0,0.0
DM_12ppd-R_e,0.0,2.144262330006086e-05
DM_12ppd-S_e,0.0,1.906011290328832e-05
DM_14glucan_e,0.0,0.0
DM_15dap_e,0.0,9.530057064388586e-06
DM_23camp_e,0.0,0.0
DM_23ccmp_e,0.0,0.0
DM_23cgmp_e,0.0,0.0
DM_23cump_e,0.0,0.0
DM_23dappa_e,0.0,0.0
DM_26dap-M_e,0.0,0.0
DM_2ddglcn_e,0.0,0.0
DM_34dhpac_e,0.0,0.0
DM_3amp_e,0.0,0.0
DM_3cmp_e,0.0,0.0
DM_3gmp_e,0.0,0.0
DM_3hcinnm_e,0.0,0.0
DM_3hpp_e,0.0,0.0
DM_3hpppn_e,0.0,0.0
DM_3ump_e,0.0,0.0
DM_4abut_e,0.0,1.55946329272183e-05
DM_4hoxpacd_e,0.0,0.0
DM_5dglcn_e,0.0,1.2252922376276842e-05
DM_5mtr_e,0.08344060569606881,0.08344376289232525
DM_LalaDglu_e,0.0,0.0
DM_LalaDgluMdap_e,0.0,3.43082092713054e-06
DM_LalaDgluMdapDala_e,0.0,3.0094913089362407e-06
DM_LalaLglu_e,0.0,0.0
DM_ac_e,0.0,4.288525963147549e-05
DM_acac_e,0.0,0.0
DM_acald_e,0.0,3.4308207830235915e-05
DM_acgal_e,0.0,0.0
DM_acgal1p_e,0.0,0.0
DM_acgam_e,0.0,0.0
DM_acgam1p_e,0.0,0.0
DM_acmana_e,0.0,0.0
DM_acmum_e,0.0,0.0
DM_acnam_e,0.0,0.0
DM_acolipa_e,0.0,0.0
DM_acser_e,0.0,1.559463720468557e-05
DM_ade_e,0.0,9.591130263345016e-06
DM_adn_e,0.0,5.474713489078686e-06
DM_adocbl_e,0.0,0.0
DM_ag_e,0.0,0.0
DM_agm_e,0.0,9.04273338164785e-06
DM_akg_e,0.0,1.715410081715163e-05
DM_ala-B_e,0.0,0.0
DM_ala-D_e,0.0,2.450585386923332e-05
DM_ala-L_e,0.0,2.450585411739592e-05
DM_alaala_e,0.0,1.2252926488131796e-05
DM_all-D_e,0.0,0.0
DM_alltn_e,0.0,1.0090645822913302e-05
DM_amp_e,0.0,0.0
DM_anhgm_e,0.0,2.907474683233602e-06
DM_arab-L_e,0.0,0.0
DM_arbt_e,0.0,0.0
DM_arbtn_e,0.0,0.0
DM_arbtn-fe3_e,0.0,0.0
DM_arg-L_e,0.0,9.028474390840313e-06
DM_ascb-L_e,0.0,0.0
DM_asn-L_e,0.0,1.906011346708425e-05
DM_aso3_e,0.0,0.0
DM_asp-L_e,0.0,2.4505850160227993e-05
DM_btn_e,0.0,0.0
DM_but_e,0.0,0.0
DM_butso3_e,0.0,0.0
DM_ca2_e,-0.06126896691524994,-0.06126896195237242
DM_cbi_e,0.0,0.0
DM_cbl1_e,-0.0027590831223951407,-0.002759082898905301
DM_cd2_e,0.0,0.0
DM_cgly_e,0.0,8.168617532118127e-06
DM_chol_e,0.0,0.0
DM_chtbs_e,0.0,0.0
DM_cit_e,0.0,1.5594636492366476e-05
DM_cl_e,-0.06126896691524994,-0.06126896195237242
DM_cm_e,0.0,0.0
DM_cmp_e,0.0,0.0
DM_co2_e,-457.0101966946732,-457.01002515366287
DM_cobalt2_e,-0.0002969416813340062,-0.000296941657281288
DM_colipa_e,0.0,3.3990925134286254e-07
DM_colipap_e,0.0,0.0
DM_cpgn_e,0.0,0.0
DM_cpgn-un_e,0.0,0.0
DM_crn_e,0.0,0.0
DM_crn-D_e,0.0,0.0
DM_csn_e,0.0,0.0
DM_cu_e,0.0,0.0
DM_cu2_e,-0.00833911221746334,-0.008339111541982839
DM_cyan_e,0.0,0.0
DM_cynt_e,0.0,0.0
DM_cys-D_e,0.0,0.0
DM_cys-L_e,0.0,1.1436063272363128e-05
DM_cytd_e,0.0,6.771356155788055e-06
DM_dad-2_e,0.0,0.0
DM_damp_e,0.0,0.0
DM_dca_e,0.0,0.0
DM_dcmp_e,0.0,0.0
DM_dcyt_e,0.0,0.0
DM_ddca_e,0.0,0.0
DM_dgmp_e,0.0,0.0
DM_dgsn_e,0.0,0.0
DM_dha_e,0.0,2.144261795662683e-05
DM_dimp_e,0.0,0.0
DM_din_e,0.0,0.0
DM_dms_e,0.0,0.0
DM_dmso_e,0.0,0.0
DM_dopa_e,0.0,0.0
DM_doxrbcn_e,0.0,0.0
DM_dtmp_e,0.0,0.0
DM_dump_e,0.0,0.0
DM_duri_e,0.0,0.0
DM_eca4colipa_e,0.0,0.0
DM_enlipa_e,0.0,0.0
DM_enter_e,0.0,1.9150716125005546e-06
DM_etha_e,0.0,0.0
DM_ethso3_e,0.0,0.0
DM_etoh_e,0.0,9.206310313039887e-06
DM_f6p_e,0.0,0.0
DM_fald_e,0.0,0.0
DM_fe2_e,-1000.0,-100.88725571853513
DM_fe3_e,100.69514683885097,999.8078911203081
DM_fe3dcit_e,0.0,0.0
DM_fe3dhbzs_e,0.0,0.0
DM_fe3hox_e,0.0,0.0
DM_fe3hox-un_e,0.0,0.0
DM_fecrm_e,0.0,0.0
DM_fecrm-un_e,0.0,0.0
DM_feenter_e,0.0,1.8645762993843747e-06
DM_feoxam_e,0.0,0.0
DM_feoxam-un_e,0.0,0.0
DM_for_e,0.0,0.00017154111071704392
DM_fru_e,0.0,0.0
DM_frulys_e,0.0,0.0
DM_fruur_e,0.0,0.0
DM_fuc-L_e,0.0,0.0
DM_fum_e,0.0,0.0
DM_fusa_e,0.0,0.0
DM_g1p_e,0.0,0.0
DM_g3pc_e,0.0,0.0
DM_g3pe_e,0.0,0.0
DM_g3pg_e,0.0,0.0
DM_g3pi_e,0.0,0.0
DM_g3ps_e,0.0,0.0
DM_g6p_e,0.0,0.0
DM_gal_e,0.0,0.0
DM_gal-bD_e,0.0,0.0
DM_gal1p_e,0.0,0.0
DM_galct-D_e,0.0,0.0
DM_galctn-D_e,0.0,0.0
DM_galctn-L_e,0.0,0.0
DM_galt_e,0.0,0.0
DM_galur_e,0.0,0.0
DM_gam_e,0.0,0.0
DM_gam6p_e,0.0,0.0
DM_gbbtn_e,0.0,0.0
DM_gdp_e,0.0,0.0
DM_glc_e,-8.16,-8.159988563931805
DM_glcn_e,0.0,1.143606338338543e-05
DM_glcr_e,0.0,0.0
DM_glcur_e,0.0,0.0
DM_glcur1p_e,0.0,0.0
DM_gln-L_e,0.0,0.0
DM_glu-L_e,0.0,1.5594634851068268e-05
DM_gly_e,0.0,5.718030840284882e-05
DM_glyald_e,0.0,2.1442623711856457e-05
DM_glyb_e,0.0,0.0
DM_glyc_e,0.0,2.1442623762038537e-05
DM_glyc-R_e,0.0,2.8590165648267885e-05
