,minimum,maximum
DM_4CRSOL,2.23e-05,0.0001590731996481708
DM_5DRIB,2.3100000000000002e-05,1.4282743781747922
DM_AACALD,0.0,0.0
DM_AMOB,2e-07,2e-07
DM_MTHTHF,0.00013399999977536936,6.86275109513021
DM_OXAM,0.0,8.657944933858438
DM_12ppd-R_e,0.0,9.911368400012918
DM_12ppd-S_e,0.0,9.911368400012918
DM_14glucan_e,0.0,0.0
DM_15dap_e,0.0,5.210214566672882
DM_23camp_e,0.0,0.0
DM_23ccmp_e,0.0,0.0
DM_23cgmp_e,0.0,0.0
DM_23cump_e,0.0,0.0
DM_23dappa_e,0.0,0.0
DM_26dap-M_e,0.0,0.0
DM_2ddglcn_e,0.0,0.0
DM_34dhpac_e,0.0,0.0
DM_3amp_e,0.0,0.0
DM_3cmp_e,0.0,0.0
DM_3gmp_e,0.0,0.0
DM_3hcinnm_e,0.0,0.0
DM_3hpp_e,0.0,7.925803326770352
DM_3hpppn_e,0.0,0.0
DM_3ump_e,0.0,0.0
DM_4abut_e,0.0,8.932295266676777
DM_4hoxpacd_e,0.0,0.0
DM_5dglcn_e,0.0,8.060794277202147
DM_5mtr_e,0.0006743999999798689,1.8457058848552483
DM_LalaDglu_e,0.0,0.0
DM_LalaDgluMdap_e,0.0,2.0585067501859857
DM_LalaDgluMdapDala_e,0.0,1.7807975829136713
DM_LalaLglu_e,0.0,0.0
DM_ac_e,0.0,22.333426500027453
DM_acac_e,0.0,0.0
DM_acald_e,0.0,16.078058177163587
DM_acgal_e,0.0,0.0
DM_acgal1p_e,0.0,0.0
DM_acgam_e,0.0,0.0
DM_acgam1p_e,0.0,0.0
DM_acmana_e,0.0,0.0
DM_acmum_e,0.0,0.0
DM_acnam_e,0.0,0.0
DM_acolipa_e,0.0,0.0
DM_acser_e,0.0,8.275471120598906
DM_ade_e,0.0,5.79132299215522
DM_adn_e,0.0,3.3839919195307395
DM_adocbl_e,0.0,0.0
DM_ag_e,0.0,0.0
