,minimum,maximum
DM_4CRSOL,0.0001616270569541254,0.00016162727995412492
DM_5DRIB,0.00016742533702422858,0.00017840924578342842
DM_AACALD,0.0,0.0
DM_AMOB,1.4495700175257883e-06,1.4495700175257883e-06
DM_MTHTHF,0.0009712119117422784,0.0009822071112921141
DM_OXAM,0.0,1.876417741188592e-05
DM_12ppd-R_e,0.0,1.6083581110493128e-05
DM_12ppd-S_e,0.0,1.6083581101611344e-05
DM_14glucan_e,0.0,0.0
DM_15dap_e,0.0,8.348207435365795e-06
DM_23camp_e,0.0,0.0
DM_23ccmp_e,0.0,0.0
DM_23cgmp_e,0.0,0.0
DM_23cump_e,0.0,0.0
DM_23dappa_e,0.0,0.0
DM_26dap-M_e,0.0,0.0
DM_2ddglcn_e,0.0,0.0
DM_34dhpac_e,0.0,0.0
DM_3amp_e,0.0,0.0
DM_3cmp_e,0.0,0.0
DM_3gmp_e,0.0,0.0
DM_3hcinnm_e,0.0,0.0
DM_3hpp_e,0.0,1.2685641733206632e-05
DM_3hpppn_e,0.0,0.0
DM_3ump_e,0.0,0.0
DM_4abut_e,0.0,1.4296516464007425e-05
DM_4hoxpacd_e,0.0,0.0
DM_5dglcn_e,0.0,1.3053341131552543e-05
DM_5mtr_e,0.00488795009914611,0.004890903149136844
DM_LalaDglu_e,0.0,0.0
DM_LalaDgluMdap_e,0.0,3.3113255895264593e-06
DM_LalaDgluMdapDala_e,0.0,2.8531848339091725e-06
DM_LalaLglu_e,0.0,0.0
DM_ac_e,0.0,3.752835475054339e-05
DM_acac_e,0.0,0.0
DM_acald_e,0.0,2.5733729726251653e-05
DM_acgal_e,0.0,0.0
DM_acgal1p_e,0.0,0.0
DM_acgam_e,0.0,0.0
DM_acgam1p_e,0.0,0.0
DM_acmana_e,0.0,0.0
DM_acmum_e,0.0,0.0
DM_acnam_e,0.0,0.0
DM_acolipa_e,0.0,0.0
DM_acser_e,0.0,1.3245302031089645e-05
DM_ade_e,0.0,1.085157274696713e-05
DM_adn_e,0.0,5.886801057067986e-06
DM_adocbl_e,0.0,0.0
DM_ag_e,0.0,0.0
DM_agm_e,0.0,8.917629090304802e-06
DM_akg_e,0.0,1.5801413386640206e-05
DM_ala-B_e,0.0,0.0
DM_ala-D_e,0.0,2.1444775279495787e-05
DM_ala-L_e,0.0,2.1444775302636998e-05
DM_alaala_e,0.0,1.0473029528283023e-05
DM_all-D_e,0.0,0.0
DM_alltn_e,0.0,1.5011342322235333e-05
DM_amp_e,0.0,0.0
DM_anhgm_e,0.0,2.9148238311787512e-06
DM_arab-L_e,0.0,0.0
DM_arbt_e,0.0,0.0
DM_arbtn_e,0.0,0.0
DM_arbtn-fe3_e,0.0,0.0
DM_arg-L_e,0.0,8.839278253347516e-06
DM_ascb-L_e,0.0,0.0
DM_asn-L_e,0.0,1.7660402246738593e-05
DM_aso3_e,0.0,0.0
DM_asp-L_e,0.0,2.0946059082371793e-05
DM_btn_e,0.0,0.0
DM_but_e,0.0,0.0
DM_butso3_e,0.0,0.0
DM_ca2_e,-0.003589135363393852,-0.003589135363393852
